@relation 'mushroom-weka.filters.unsupervised.attribute.Remove-V-R22,21,20,19,18,17,16,15,14,13,12,11,10,9,8,2,23'

@attribute habitat {d,g,l,m,p,u,w}
@attribute population {a,c,n,s,v,y}
@attribute spore-print-color {b,h,k,n,o,r,u,w,y}
@attribute ring-type {c,e,f,l,n,p,s,z}
@attribute ring-number {n,o,t}
@attribute veil-color {n,o,w,y}
@attribute veil-type {p,u}
@attribute stalk-color-below-ring {b,c,e,g,n,o,p,w,y}
@attribute stalk-color-above-ring {b,c,e,g,n,o,p,w,y}
@attribute stalk-surface-below-ring {f,k,s,y}
@attribute stalk-surface-above-ring {f,k,s,y}
@attribute stalk-root {b,c,e,r,u,z}
@attribute stalk-shape {e,t}
@attribute gill-color {b,e,g,h,k,n,o,p,r,u,w,y}
@attribute gill-size {b,n}
@attribute cap-surface {f,g,s,y}
@attribute class {e,p}

@data
u,s,k,p,o,w,p,w,w,s,s,e,e,k,n,s,p
g,n,n,p,o,w,p,w,w,s,s,c,e,k,b,s,e
m,n,n,p,o,w,p,w,w,s,s,c,e,n,b,s,e
u,s,k,p,o,w,p,w,w,s,s,e,e,n,n,y,p
g,a,n,e,o,w,p,w,w,s,s,e,t,k,b,s,e
g,n,k,p,o,w,p,w,w,s,s,c,e,n,b,y,e
m,n,k,p,o,w,p,w,w,s,s,c,e,g,b,s,e
m,s,n,p,o,w,p,w,w,s,s,c,e,n,b,y,e
g,v,k,p,o,w,p,w,w,s,s,e,e,p,n,y,p
m,s,k,p,o,w,p,w,w,s,s,c,e,g,b,s,e
g,n,n,p,o,w,p,w,w,s,s,c,e,g,b,y,e
m,s,k,p,o,w,p,w,w,s,s,c,e,n,b,y,e
g,s,n,p,o,w,p,w,w,s,s,c,e,w,b,s,e
u,v,n,p,o,w,p,w,w,s,s,e,e,k,n,y,p
g,a,k,e,o,w,p,w,w,f,s,e,t,n,b,f,e
u,y,n,p,o,w,p,w,w,s,s,e,e,k,n,f,e
g,a,n,e,o,w,p,w,w,s,s,e,t,k,b,f,e
g,s,k,p,o,w,p,w,w,s,s,e,e,n,n,s,p
u,s,n,p,o,w,p,w,w,s,s,e,e,n,n,y,p
u,s,n,p,o,w,p,w,w,s,s,e,e,k,n,s,p
m,s,n,p,o,w,p,w,w,s,s,c,e,k,b,s,e
g,v,n,p,o,w,p,w,w,s,s,e,e,n,n,y,p
m,s,n,p,o,w,p,w,w,s,s,c,e,k,b,y,e
m,n,n,p,o,w,p,w,w,s,s,c,e,w,b,y,e
m,s,k,p,o,w,p,w,w,s,s,c,e,g,b,s,e
g,v,n,p,o,w,p,w,w,s,s,e,e,n,n,s,p
m,n,n,p,o,w,p,w,w,s,s,c,e,n,b,y,e
m,n,n,p,o,w,p,w,w,s,s,c,e,w,b,y,e
u,y,k,p,o,w,p,w,w,s,s,e,e,k,n,f,e
d,v,n,p,o,w,p,w,w,s,s,b,t,n,n,s,e
m,n,n,p,o,w,p,w,w,s,s,c,e,g,b,s,e
u,s,n,p,o,w,p,w,w,s,s,e,e,k,n,y,p
m,n,n,p,o,w,p,w,w,s,s,c,e,n,b,y,e
p,y,n,p,o,w,p,w,w,y,s,r,e,p,b,y,e
m,s,n,p,o,w,p,w,w,s,s,c,e,n,b,y,e
d,v,n,p,o,w,p,w,w,s,s,b,t,w,n,f,e
u,v,k,p,o,w,p,w,w,s,s,e,e,k,n,f,e
u,s,n,p,o,w,p,w,w,s,s,e,e,w,n,y,p
d,v,n,p,o,w,p,w,w,s,s,b,t,p,n,f,e
m,s,k,p,o,w,p,w,w,s,s,c,e,k,b,s,e
g,s,n,p,o,w,p,w,w,s,s,c,e,n,b,y,e
p,y,k,p,o,w,p,w,w,y,s,r,e,n,b,y,e
u,y,k,p,o,w,p,w,w,s,s,e,e,g,n,f,e
g,v,n,p,o,w,p,w,w,s,s,e,e,p,n,y,p
m,n,k,p,o,w,p,w,w,s,s,c,e,w,b,s,e
