@relation './nova_train-weka.filters.unsupervised.attribute.Remove-V-R1156,14089,7415,14762,4078,13635,14389,14333,2418,10302,11714,12694,13716,3329,13495,10308,14936,15010,14127,10376,14987,9050,12153,13434,4288,7072,11376,14153,14279,12192,10657,7456,12950,9822,10767,2614,13872,9147,13132,293,13932,2042,13419,7818,7118,4334,11971,1969,4950,7773,6298,7954,15197,13058,3196,1241,8944,3830,12434,12057,3208,1836,8381,12168,4097,15526,12473,7945,14746,15970,9094,11207,7136,1970,9023,6666,14080,10399,15585,16046,2573,3253,1765,6524,2505,3691,14870,8803,11855,14685,8432,4138,13104,11498,16086,7805,16970-weka.filters.unsupervised.attribute.Remove-V-R69,81,54,85,91,82,53,74,73,67,76,72,88,75,57,78,77,93,95-96,94,92,60-61,97'

@attribute attr14745 numeric
@attribute attr2572 numeric
@attribute attr13057 numeric
@attribute attr2504 numeric
@attribute attr8431 numeric
@attribute attr3252 numeric
@attribute attr15196 numeric
@attribute attr1969 numeric
@attribute attr7135 numeric
@attribute attr12472 numeric
@attribute attr6665 numeric
@attribute attr11206 numeric
@attribute attr8802 numeric
@attribute attr9022 numeric
@attribute attr8943 numeric
@attribute attr10398 numeric
@attribute attr14079 numeric
@attribute attr13103 numeric
@attribute attr16085 numeric
@attribute attr7804 numeric
@attribute attr11497 numeric
@attribute attr4137 numeric
@attribute attr12056 numeric
@attribute attr3207 numeric
@attribute CLASS {0,1}

@data
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
