@relation cylinder.arff.digitized.arff.binarized.arff
@attribute cylinder_number:f26 {0,1}
@attribute cylinder_number:w92 {0,1}
@attribute cylinder_number:e69 {0,1}
@attribute cylinder_number:i010 {0,1}
@attribute cylinder_number:j38 {0,1}
@attribute timestamp:19910422 {0,1}
@attribute timestamp:19910822 {0,1}
@attribute timestamp:19910718 {0,1}
@attribute cylinder_number:x351 {0,1}
@attribute timestamp:19920603 {0,1}
@attribute cylinder_number:f321 {0,1}
@attribute cylinder_number:e303 {0,1}
@attribute timestamp:19910802 {0,1}
@attribute cylinder_number:i301 {0,1}
@attribute cylinder_number:g145 {0,1}
@attribute timestamp:19921001 {0,1}
@attribute cylinder_number:b7 {0,1}
@attribute cylinder_number:m65 {0,1}
@attribute cylinder_number:o4 {0,1}
@attribute timestamp:19911203 {0,1}
@attribute press_speed:59 {0,1}
@attribute timestamp:19901117 {0,1}
@attribute timestamp:19900809 {0,1}
@attribute cylinder_number:x400 {0,1}
@attribute cylinder_number:i25 {0,1}
@attribute cylinder_number:r43 {0,1}
@attribute timestamp:19900702 {0,1}
@attribute cylinder_number:x80 {0,1}
@attribute timestamp:19920408 {0,1}
@attribute cylinder_number:x770 {0,1}
@attribute timestamp:19910809 {0,1}
@attribute cylinder_number:x53 {0,1}
@attribute cylinder_number:x788 {0,1}
@attribute timestamp:19910302 {0,1}
@attribute cylinder_number:r7 {0,1}
@attribute timestamp:19930309 {0,1}
@attribute timestamp:19930219 {0,1}
@attribute cylinder_number:x828 {0,1}
@attribute timestamp:19900417 {0,1}
@attribute cylinder_number:i317 {0,1}
@attribute esa_voltage:52 {0,1}
@attribute cylinder_number:x232 {0,1}
@attribute timestamp:19900705 {0,1}
@attribute cylinder_number:o1 {0,1}
@attribute cylinder_number:i324 {0,1}
@attribute timestamp:19910108 {0,1}
@attribute cylinder_number:x155 {0,1}
@attribute cylinder_number:x414 {0,1}
@attribute cylinder_number:x791 {0,1}
@attribute timestamp:19910423 {0,1}
@attribute cylinder_number:i346 {0,1}
@attribute cylinder_number:e77 {0,1}
@attribute cylinder_number:r25 {0,1}
@attribute cylinder_number:x206 {0,1}
@attribute cylinder_number:g404 {0,1}
@attribute cylinder_number:x821 {0,1}
@attribute timestamp:19910103 {0,1}
@attribute cylinder_number:x84 {0,1}
@attribute cylinder_number:g60 {0,1}
@attribute cylinder_number:g657 {0,1}
@attribute cylinder_number:t284 {0,1}
@attribute cylinder_number:i320 {0,1}
@attribute cylinder_number:e67 {0,1}
@attribute cylinder_number:o8 {0,1}
@attribute timestamp:19900511 {0,1}
@attribute cylinder_number:aa7 {0,1}
@attribute cylinder_number:f590 {0,1}
@attribute timestamp:19941005 {0,1}
@attribute timestamp:19920822 {0,1}
@attribute cylinder_number:m272 {0,1}
@attribute timestamp:19920326 {0,1}
@attribute cylinder_number:x221 {0,1}
@attribute timestamp:19910618 {0,1}
@attribute cylinder_number:f237 {0,1}
@attribute cylinder_number:e90 {0,1}
@attribute cylinder_number:f416 {0,1}
@attribute timestamp:19900814 {0,1}
@attribute timestamp:19920405 {0,1}
@attribute cylinder_number:x777 {0,1}
@attribute timestamp:19901003 {0,1}
@attribute timestamp:19930227 {0,1}
@attribute timestamp:19910617 {0,1}
@attribute cylinder_number:e38 {0,1}
@attribute cylinder_number:3 {0,1}
@attribute cylinder_number:x713 {0,1}
@attribute cylinder_number:g640 {0,1}
@attribute cylinder_number:g496 {0,1}
@attribute cylinder_number:x754 {0,1}
@attribute cylinder_number:x57 {0,1}
@attribute timestamp:19930916 {0,1}
@attribute cylinder_number:f98 {0,1}
@attribute timestamp:19920531 {0,1}
@attribute cylinder_number:f331 {0,1}
@attribute caliper:0.533 {0,1}
@attribute cylinder_number:x185 {0,1}
@attribute cylinder_number:f308 {0,1}
@attribute timestamp:19910806 {0,1}
@attribute cylinder_number:g412 {0,1}
@attribute cylinder_number:aa1 {0,1}
@attribute cylinder_number:j43 {0,1}
@attribute band_type {band,noband}
@data
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,band
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,noband
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,noband
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,noband
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,noband
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,noband
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,noband
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,noband
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,band
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,noband
