@relation dexter.arff.digitized.arff.binarized.arff
@attribute attr626:2592 {0,1}
@attribute attr15798:3110 {0,1}
@attribute attr4308:2819 {0,1}
@attribute attr19386:3172 {0,1}
@attribute attr13685:5925 {0,1}
@attribute attr12916:5823 {0,1}
@attribute attr12610:5530 {0,1}
@attribute attr10244:5395 {0,1}
@attribute attr4576:5753 {0,1}
@attribute attr10457:4019 {0,1}
@attribute attr19327:2052 {0,1}
@attribute attr11668:3789 {0,1}
@attribute attr14239:3446 {0,1}
@attribute attr13929:5619 {0,1}
@attribute attr1244:1995 {0,1}
@attribute attr2062:5694 {0,1}
@attribute attr12170:83 {0,1}
@attribute attr5128:1831 {0,1}
@attribute attr10779:3925 {0,1}
@attribute attr19685:5 {0,1}
@attribute attr4637:4827 {0,1}
@attribute attr17970:305 {0,1}
@attribute attr247:3110 {0,1}
@attribute attr5305:6095 {0,1}
@attribute attr10998:5180 {0,1}
@attribute attr17487:1066 {0,1}
@attribute attr18894:1260 {0,1}
@attribute attr19386:5108 {0,1}
@attribute attr8945:754 {0,1}
@attribute attr1914:3847 {0,1}
@attribute attr17017:5422 {0,1}
@attribute attr1990:4090 {0,1}
@attribute attr6927:646 {0,1}
@attribute attr10457:5164 {0,1}
@attribute attr6865:580 {0,1}
@attribute attr16974:3596 {0,1}
@attribute attr17471:780 {0,1}
@attribute attr7055:1995 {0,1}
@attribute attr15798:3272 {0,1}
@attribute attr13685:5583 {0,1}
@attribute attr9614:4719 {0,1}
@attribute attr14973:4346 {0,1}
@attribute attr9596:878 {0,1}
@attribute attr18986:4782 {0,1}
@attribute attr8548:5197 {0,1}
@attribute attr16912:3621 {0,1}
@attribute attr11994:700 {0,1}
@attribute attr3713:4042 {0,1}
@attribute attr4554:1624 {0,1}
@attribute attr268:3654 {0,1}
@attribute attr12610:5081 {0,1}
@attribute attr19973:2827 {0,1}
@attribute attr11330:5960 {0,1}
@attribute attr14844:6166 {0,1}
@attribute attr15294:2382 {0,1}
@attribute attr5128:4952 {0,1}
@attribute attr12916:1565 {0,1}
@attribute attr4308:5543 {0,1}
@attribute attr9056:5593 {0,1}
@attribute attr16936:4198 {0,1}
@attribute attr11380:1997 {0,1}
@attribute attr15292:1492 {0,1}
@attribute attr3578:1101 {0,1}
@attribute attr247:3680 {0,1}
@attribute attr12916:3881 {0,1}
@attribute attr1824:2227 {0,1}
@attribute attr14665:2411 {0,1}
@attribute attr17102:4042 {0,1}
@attribute attr13929:2436 {0,1}
@attribute attr19685:4341 {0,1}
@attribute attr2634:2035 {0,1}
@attribute attr1565:5285 {0,1}
@attribute attr12136:274 {0,1}
@attribute attr10244:3939 {0,1}
@attribute attr18160:1843 {0,1}
@attribute attr4576:4091 {0,1}
@attribute attr12607:426 {0,1}
@attribute attr7182:1237 {0,1}
@attribute attr1052:118 {0,1}
@attribute attr15948:1318 {0,1}
@attribute attr8349:253 {0,1}
@attribute attr4722:5227 {0,1}
@attribute attr5874:415 {0,1}
@attribute attr17621:4192 {0,1}
@attribute attr5551:5646 {0,1}
@attribute attr80:1814 {0,1}
@attribute attr16584:3168 {0,1}
@attribute attr19739:4634 {0,1}
@attribute attr17017:2235 {0,1}
@attribute attr7560:2806 {0,1}
@attribute attr13165:3211 {0,1}
@attribute attr8078:1069 {0,1}
@attribute attr8342:3509 {0,1}
@attribute attr2062:3811 {0,1}
@attribute attr11224:2155 {0,1}
@attribute attr13006:852 {0,1}
@attribute attr13685:2799 {0,1}
@attribute attr14733:3654 {0,1}
@attribute attr5043:4738 {0,1}
@attribute attr4554:585 {0,1}
@attribute class {0,1}
@data
1,1,1,0,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,0,0,0,1,1,1,1,0,0,0,1,1,1,0,0,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,1,1,0,1,1,0,1
0,1,1,1,1,0,1,0,1,1,1,1,0,1,1,1,0,1,1,0,1,1,1,1,1,0,1,0,1,0,1,1,1,0,1,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,1,1,1,1,1,0,0,1,0,1,0,1,1,1,1,1,1,0,1,1,0,1,1,1,1,0,1,1,1,1,0,1,1,0,1,0,1,1,0,1,1,0,0
1,1,1,1,1,1,0,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,0,0,0,1,1,1,0,0,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,1,1,0,1,1,0,1
0,1,1,1,1,0,0,0,1,1,1,1,0,0,1,1,0,1,1,0,1,1,1,1,1,0,1,0,1,0,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,1,1,1,1,1,0,0,1,0,1,0,0,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,1,1,1,0,1,0,0,1,0,1,1,0,1,1,0,0
1,1,1,1,0,0,0,1,1,1,1,0,1,0,1,1,1,0,1,1,1,1,0,1,1,1,1,0,0,1,0,1,1,0,0,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,0,0,0,1,1,1,1,0,1,0,1,1,1,0,0,0,1,1,0,1,0,1,1,1,1,1,1,1,0,1,1,0,1,0,1,1,0,1,0,1,1,0,1,1,0,1
1,1,1,1,1,0,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,1,1,0,0,0,1,1,1,1,0,0,1,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,1,1,0,1,0,0,0
1,1,0,0,1,0,0,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,0,1,0,1,1,1,0,1,1,1,1,0,1,1,1,1,0,0,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,0,0,0,1,1,1,1,0,0,0,1,1,1,0,0,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,1,0,0,1,1,0,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0,1,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,1,1,1,1,0,0,0,1,1,1,0,0,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,0,1,1,0,0
1,1,0,1,1,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,0,0,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,0,0,1,1,1,1,1,0,0,0,1,1,1,0,0,1,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,1,1,0,1,1,1,1
1,1,1,0,1,1,0,1,0,1,0,0,1,0,1,1,1,1,1,1,1,1,0,0,1,1,0,0,1,1,0,1,0,0,0,1,1,1,0,0,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,0,0,0,1,1,1,1,0,1,0,1,1,1,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,1,1,0,1,1,0,1
