@relation './arcene_train-weka.filters.unsupervised.attribute.Discretize-B10-M-1.0-Rfirst-last-weka.filters.unsupervised.attribute.Remove-V-R125,93,90,77,28,25,21,2,10001'

@attribute attr124 {'\'(-inf-18.6]\'','\'(18.6-37.2]\'','\'(37.2-55.8]\'','\'(55.8-74.4]\'','\'(74.4-93]\'','\'(93-111.6]\'','\'(111.6-130.2]\'','\'(130.2-148.8]\'','\'(148.8-167.4]\'','\'(167.4-inf)\''}
@attribute attr92 {'\'(-inf-21.3]\'','\'(21.3-42.6]\'','\'(42.6-63.9]\'','\'(63.9-85.2]\'','\'(85.2-106.5]\'','\'(106.5-127.8]\'','\'(127.8-149.1]\'','\'(149.1-170.4]\'','\'(170.4-191.7]\'','\'(191.7-inf)\''}
@attribute attr89 {'\'(-inf-22]\'','\'(22-44]\'','\'(44-66]\'','\'(66-88]\'','\'(88-110]\'','\'(110-132]\'','\'(132-154]\'','\'(154-176]\'','\'(176-198]\'','\'(198-inf)\''}
@attribute attr76 {'\'(-inf-8.1]\'','\'(8.1-16.2]\'','\'(16.2-24.3]\'','\'(24.3-32.4]\'','\'(32.4-40.5]\'','\'(40.5-48.6]\'','\'(48.6-56.7]\'','\'(56.7-64.8]\'','\'(64.8-72.9]\'','\'(72.9-inf)\''}
@attribute attr27 {'\'(-inf-34.5]\'','\'(34.5-69]\'','\'(69-103.5]\'','\'(103.5-138]\'','\'(138-172.5]\'','\'(172.5-207]\'','\'(207-241.5]\'','\'(241.5-276]\'','\'(276-310.5]\'','\'(310.5-inf)\''}
@attribute attr24 {'\'(-inf-32.3]\'','\'(32.3-64.6]\'','\'(64.6-96.9]\'','\'(96.9-129.2]\'','\'(129.2-161.5]\'','\'(161.5-193.8]\'','\'(193.8-226.1]\'','\'(226.1-258.4]\'','\'(258.4-290.7]\'','\'(290.7-inf)\''}
@attribute attr20 {'\'(-inf-16.3]\'','\'(16.3-32.6]\'','\'(32.6-48.9]\'','\'(48.9-65.2]\'','\'(65.2-81.5]\'','\'(81.5-97.8]\'','\'(97.8-114.1]\'','\'(114.1-130.4]\'','\'(130.4-146.7]\'','\'(146.7-inf)\''}
@attribute attr1 {'\'(-inf-21.8]\'','\'(21.8-43.6]\'','\'(43.6-65.4]\'','\'(65.4-87.2]\'','\'(87.2-109]\'','\'(109-130.8]\'','\'(130.8-152.6]\'','\'(152.6-174.4]\'','\'(174.4-196.2]\'','\'(196.2-inf)\''}
@attribute CLASS {0,1}

@data
'\'(-inf-18.6]\'','\'(42.6-63.9]\'','\'(-inf-22]\'','\'(-inf-8.1]\'','\'(138-172.5]\'','\'(64.6-96.9]\'','\'(-inf-16.3]\'','\'(65.4-87.2]\'',1
'\'(-inf-18.6]\'','\'(127.8-149.1]\'','\'(-inf-22]\'','\'(-inf-8.1]\'','\'(172.5-207]\'','\'(96.9-129.2]\'','\'(-inf-16.3]\'','\'(21.8-43.6]\'',0
'\'(-inf-18.6]\'','\'(42.6-63.9]\'','\'(-inf-22]\'','\'(-inf-8.1]\'','\'(172.5-207]\'','\'(96.9-129.2]\'','\'(-inf-16.3]\'','\'(-inf-21.8]\'',1
'\'(-inf-18.6]\'','\'(149.1-170.4]\'','\'(-inf-22]\'','\'(-inf-8.1]\'','\'(103.5-138]\'','\'(193.8-226.1]\'','\'(-inf-16.3]\'','\'(43.6-65.4]\'',1
'\'(55.8-74.4]\'','\'(-inf-21.3]\'','\'(88-110]\'','\'(32.4-40.5]\'','\'(69-103.5]\'','\'(258.4-290.7]\'','\'(-inf-16.3]\'','\'(-inf-21.8]\'',0
'\'(55.8-74.4]\'','\'(21.3-42.6]\'','\'(198-inf)\'','\'(-inf-8.1]\'','\'(-inf-34.5]\'','\'(-inf-32.3]\'','\'(-inf-16.3]\'','\'(43.6-65.4]\'',0
'\'(74.4-93]\'','\'(-inf-21.3]\'','\'(44-66]\'','\'(16.2-24.3]\'','\'(172.5-207]\'','\'(226.1-258.4]\'','\'(16.3-32.6]\'','\'(65.4-87.2]\'',1
'\'(-inf-18.6]\'','\'(-inf-21.3]\'','\'(22-44]\'','\'(-inf-8.1]\'','\'(172.5-207]\'','\'(161.5-193.8]\'','\'(-inf-16.3]\'','\'(-inf-21.8]\'',0
'\'(-inf-18.6]\'','\'(63.9-85.2]\'','\'(-inf-22]\'','\'(-inf-8.1]\'','\'(103.5-138]\'','\'(129.2-161.5]\'','\'(-inf-16.3]\'','\'(-inf-21.8]\'',0
'\'(18.6-37.2]\'','\'(85.2-106.5]\'','\'(176-198]\'','\'(64.8-72.9]\'','\'(138-172.5]\'','\'(64.6-96.9]\'','\'(-inf-16.3]\'','\'(109-130.8]\'',0
'\'(-inf-18.6]\'','\'(-inf-21.3]\'','\'(-inf-22]\'','\'(-inf-8.1]\'','\'(172.5-207]\'','\'(96.9-129.2]\'','\'(-inf-16.3]\'','\'(-inf-21.8]\'',0
