@relation './hiva_train-weka.filters.unsupervised.attribute.Remove-V-R381,560,1236,7,724,1464,645,811,1132,474,1368,183,1590,1427,498,572,348,15,407,880,424,296,809,1166,1242,883,1010,205,838,1075,57,960,738,930,808,42,1208,208,347,58,1230,367,412,548,1402,762,241,888,783,195,1238,136,752,1232,277,1512,11,1201,1518,103,1124,688,1246,969,148,1461,745,806,1278,164,400,458,166,910,145,281,1555,1030,101,55,220,469,974,84,537,1522,931,563,1054,768,68,1117,1265,1297,433,1567,908,1323,149,1168,1542,247,1618'

@attribute attr380 numeric
@attribute attr559 numeric
@attribute attr1235 numeric
@attribute attr6 numeric
@attribute attr723 numeric
@attribute attr1463 numeric
@attribute attr644 numeric
@attribute attr810 numeric
@attribute attr1131 numeric
@attribute attr473 numeric
@attribute attr1367 numeric
@attribute attr182 numeric
@attribute attr1589 numeric
@attribute attr1426 numeric
@attribute attr497 numeric
@attribute attr571 numeric
@attribute attr347 numeric
@attribute attr14 numeric
@attribute attr406 numeric
@attribute attr879 numeric
@attribute attr423 numeric
@attribute attr295 numeric
@attribute attr808 numeric
@attribute attr1165 numeric
@attribute attr1241 numeric
@attribute attr882 numeric
@attribute attr1009 numeric
@attribute attr204 numeric
@attribute attr837 numeric
@attribute attr1074 numeric
@attribute attr56 numeric
@attribute attr959 numeric
@attribute attr737 numeric
@attribute attr929 numeric
@attribute attr807 numeric
@attribute attr41 numeric
@attribute attr1207 numeric
@attribute attr207 numeric
@attribute attr346 numeric
@attribute attr57 numeric
@attribute attr1229 numeric
@attribute attr366 numeric
@attribute attr411 numeric
@attribute attr547 numeric
@attribute attr1401 numeric
@attribute attr761 numeric
@attribute attr240 numeric
@attribute attr887 numeric
@attribute attr782 numeric
@attribute attr194 numeric
@attribute attr1237 numeric
@attribute attr135 numeric
@attribute attr751 numeric
@attribute attr1231 numeric
@attribute attr276 numeric
@attribute attr1511 numeric
@attribute attr10 numeric
@attribute attr1200 numeric
@attribute attr1517 numeric
@attribute attr102 numeric
@attribute attr1123 numeric
@attribute attr687 numeric
@attribute attr1245 numeric
@attribute attr968 numeric
@attribute attr147 numeric
@attribute attr1460 numeric
@attribute attr744 numeric
@attribute attr805 numeric
@attribute attr1277 numeric
@attribute attr163 numeric
@attribute attr399 numeric
@attribute attr457 numeric
@attribute attr165 numeric
@attribute attr909 numeric
@attribute attr144 numeric
@attribute attr280 numeric
@attribute attr1554 numeric
@attribute attr1029 numeric
@attribute attr100 numeric
@attribute attr54 numeric
@attribute attr219 numeric
@attribute attr468 numeric
@attribute attr973 numeric
@attribute attr83 numeric
@attribute attr536 numeric
@attribute attr1521 numeric
@attribute attr930 numeric
@attribute attr562 numeric
@attribute attr1053 numeric
@attribute attr767 numeric
@attribute attr67 numeric
@attribute attr1116 numeric
@attribute attr1264 numeric
@attribute attr1296 numeric
@attribute attr432 numeric
@attribute attr1566 numeric
@attribute attr907 numeric
@attribute attr1322 numeric
@attribute attr148 numeric
@attribute attr1167 numeric
@attribute attr1541 numeric
@attribute attr246 numeric
@attribute CLASS {0,1}

@data
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
