@relation './nova_train-weka.filters.unsupervised.attribute.Remove-V-R3781,2418,7219,2943,12921,227,2834,13841,8566,6686,4474,9023,2514,2386,10785,2020,13458,16968,14279,1641,668,6806,13872,14599,2216,8381,4235,9086,5722,8944,1657,10199,9877,4650,4208,2122,14449,5534,885,13672,6403,8955,13046,278,1970,2792,5142,14655,979,10347,16086,14127,15089,1695,1057,15526,16266,10806,11498,14426,16288,2997,15044,15723,6213,7805,15385,13104,2243,11207,11176,4288,4138,6666,6517,2553,10298,13435,14735,7118,14746,1270,13366,5436,16317,4078,8610,15751,8509,2626,7256,9589,12950,14248,13342,16506,13151,12057,10767,6260,541,7099,7954,13333,7136,13667,16970'

@attribute attr3780 numeric
@attribute attr2417 numeric
@attribute attr7218 numeric
@attribute attr2942 numeric
@attribute attr12920 numeric
@attribute attr226 numeric
@attribute attr2833 numeric
@attribute attr13840 numeric
@attribute attr8565 numeric
@attribute attr6685 numeric
@attribute attr4473 numeric
@attribute attr9022 numeric
@attribute attr2513 numeric
@attribute attr2385 numeric
@attribute attr10784 numeric
@attribute attr2019 numeric
@attribute attr13457 numeric
@attribute attr16967 numeric
@attribute attr14278 numeric
@attribute attr1640 numeric
@attribute attr667 numeric
@attribute attr6805 numeric
@attribute attr13871 numeric
@attribute attr14598 numeric
@attribute attr2215 numeric
@attribute attr8380 numeric
@attribute attr4234 numeric
@attribute attr9085 numeric
@attribute attr5721 numeric
@attribute attr8943 numeric
@attribute attr1656 numeric
@attribute attr10198 numeric
@attribute attr9876 numeric
@attribute attr4649 numeric
@attribute attr4207 numeric
@attribute attr2121 numeric
@attribute attr14448 numeric
@attribute attr5533 numeric
@attribute attr884 numeric
@attribute attr13671 numeric
@attribute attr6402 numeric
@attribute attr8954 numeric
@attribute attr13045 numeric
@attribute attr277 numeric
@attribute attr1969 numeric
@attribute attr2791 numeric
@attribute attr5141 numeric
@attribute attr14654 numeric
@attribute attr978 numeric
@attribute attr10346 numeric
@attribute attr16085 numeric
@attribute attr14126 numeric
@attribute attr15088 numeric
@attribute attr1694 numeric
@attribute attr1056 numeric
@attribute attr15525 numeric
@attribute attr16265 numeric
@attribute attr10805 numeric
@attribute attr11497 numeric
@attribute attr14425 numeric
@attribute attr16287 numeric
@attribute attr2996 numeric
@attribute attr15043 numeric
@attribute attr15722 numeric
@attribute attr6212 numeric
@attribute attr7804 numeric
@attribute attr15384 numeric
@attribute attr13103 numeric
@attribute attr2242 numeric
@attribute attr11206 numeric
@attribute attr11175 numeric
@attribute attr4287 numeric
@attribute attr4137 numeric
@attribute attr6665 numeric
@attribute attr6516 numeric
@attribute attr2552 numeric
@attribute attr10297 numeric
@attribute attr13434 numeric
@attribute attr14734 numeric
@attribute attr7117 numeric
@attribute attr14745 numeric
@attribute attr1269 numeric
@attribute attr13365 numeric
@attribute attr5435 numeric
@attribute attr16316 numeric
@attribute attr4077 numeric
@attribute attr8609 numeric
@attribute attr15750 numeric
@attribute attr8508 numeric
@attribute attr2625 numeric
@attribute attr7255 numeric
@attribute attr9588 numeric
@attribute attr12949 numeric
@attribute attr14247 numeric
@attribute attr13341 numeric
@attribute attr16505 numeric
@attribute attr13150 numeric
@attribute attr12056 numeric
@attribute attr10766 numeric
@attribute attr6259 numeric
@attribute attr540 numeric
@attribute attr7098 numeric
@attribute attr7953 numeric
@attribute attr13332 numeric
@attribute attr7135 numeric
@attribute attr13666 numeric
@attribute CLASS {0,1}

@data
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
