@relation 'mushroom-weka.filters.unsupervised.attribute.Remove-V-R22,13,4-5,23'

@attribute habitat {d,g,l,m,p,u,w}
@attribute stalk-surface-below-ring {f,k,s,y}
@attribute bruises? {f,t}
@attribute odor {a,c,f,l,m,n,p,s,y}
@attribute class {e,p}

@data
u,s,t,p,p
g,s,t,a,e
m,s,t,l,e
u,s,t,p,p
g,s,f,n,e
g,s,t,a,e
m,s,t,a,e
m,s,t,l,e
g,s,t,p,p
m,s,t,a,e
g,s,t,l,e
m,s,t,a,e
g,s,t,a,e
u,s,t,p,p
g,f,f,n,e
u,s,f,n,e
g,s,f,n,e
g,s,t,p,p
u,s,t,p,p
u,s,t,p,p
m,s,t,a,e
g,s,t,p,p
m,s,t,l,e
m,s,t,a,e
m,s,t,l,e
g,s,t,p,p
m,s,t,a,e
m,s,t,l,e
u,s,f,n,e
d,s,t,a,e
m,s,t,l,e
u,s,t,p,p
m,s,t,l,e
p,y,t,l,e
m,s,t,l,e
d,s,t,l,e
u,s,f,n,e
u,s,t,p,p
d,s,t,a,e
m,s,t,l,e
g,s,t,a,e
p,y,t,l,e
u,s,f,n,e
g,s,t,p,p
m,s,t,a,e
g,s,t,a,e
m,s,t,l,e
m,s,t,l,e
p,y,t,l,e
p,y,t,l,e
g,y,t,a,e
g,s,t,l,e
m,s,t,l,e
u,s,t,p,p
u,s,t,p,p
m,s,t,a,e
g,s,f,n,e
g,s,t,a,e
g,s,t,l,e
p,y,t,a,e
u,s,f,n,e
m,s,t,a,e
m,s,t,l,e
m,s,t,l,e
g,s,t,l,e
g,s,f,n,e
g,s,t,l,e
g,y,t,a,e
g,s,t,a,e
u,s,f,n,e
d,s,t,l,e
m,s,t,l,e
d,s,t,l,e
p,y,t,a,e
g,s,t,a,e
d,s,t,l,e
d,s,t,l,e
p,y,t,l,e
u,s,t,p,p
g,y,t,a,e
g,s,f,n,e
g,s,t,p,p
u,s,f,n,e
g,s,f,n,e
g,y,t,l,e
g,s,f,n,e
g,s,t,a,e
g,s,t,l,e
g,y,t,l,e
u,s,f,n,e
u,s,f,n,e
g,s,t,l,e
g,s,t,a,e
m,s,t,l,e
g,s,f,n,e
g,s,t,a,e
g,y,t,l,e
g,s,t,a,e
g,s,t,a,e
g,s,t,a,e
g,s,f,n,e
g,s,t,l,e
