@relation 'spambase-weka.filters.supervised.attribute.Discretize-Rfirst-last-weka.filters.unsupervised.attribute.Remove-V-R7,24,4,40,23,22,41,20,16,42,34,15,29,26,30,35,11,27,44,53,28,8,46,39,14,9,25,33,2,51,37,17,13,58'

@attribute word_freq_remove {'\'(-inf-0.01]\'','\'(0.01-inf)\''}
@attribute word_freq_money {'\'(-inf-0.01]\'','\'(0.01-inf)\''}
@attribute word_freq_3d {'\'(-inf-0.155]\'','\'(0.155-inf)\''}
@attribute word_freq_direct {'\'(-inf-1.67]\'','\'(1.67-inf)\''}
@attribute word_freq_000 {'\'(-inf-0.125]\'','\'(0.125-0.26]\'','\'(0.26-inf)\''}
@attribute word_freq_font {'\'(-inf-0.115]\'','\'(0.115-inf)\''}
@attribute word_freq_cs {'\'(-inf-0.01]\'','\'(0.01-inf)\''}
@attribute word_freq_credit {'\'(-inf-0.075]\'','\'(0.075-inf)\''}
@attribute word_freq_free {'\'(-inf-0.095]\'','\'(0.095-inf)\''}
@attribute word_freq_meeting {'\'(-inf-0.455]\'','\'(0.455-inf)\''}
@attribute word_freq_415 {'\'(-inf-0.195]\'','\'(0.195-inf)\''}
@attribute word_freq_addresses {'\'(-inf-0.025]\'','\'(0.025-inf)\''}
@attribute word_freq_lab {'\'(-inf-0.125]\'','\'(0.125-inf)\''}
@attribute word_freq_hpl {'\'(-inf-0.12]\'','\'(0.12-inf)\''}
@attribute word_freq_labs {'\'(-inf-0.125]\'','\'(0.125-inf)\''}
@attribute word_freq_85 {'\'(-inf-0.195]\'','\'(0.195-inf)\''}
@attribute word_freq_receive {'\'(-inf-0.045]\'','\'(0.045-1.825]\'','\'(1.825-2.03]\'','\'(2.03-inf)\''}
@attribute word_freq_george {'\'(-inf-0.005]\'','\'(0.005-0.44]\'','\'(0.44-inf)\''}
@attribute word_freq_project {'\'(-inf-0.085]\'','\'(0.085-1.18]\'','\'(1.18-inf)\''}
@attribute char_freq_$ {'\'(-inf-0.0125]\'','\'(0.0125-0.0555]\'','\'(0.0555-0.1475]\'','\'(0.1475-inf)\''}
@attribute word_freq_650 {'\'(-inf-0.01]\'','\'(0.01-inf)\''}
@attribute word_freq_internet {'\'(-inf-0.015]\'','\'(0.015-inf)\''}
@attribute word_freq_edu {'\'(-inf-0.05]\'','\'(0.05-0.125]\'','\'(0.125-inf)\''}
@attribute word_freq_pm {'\'(-inf-0.115]\'','\'(0.115-0.745]\'','\'(0.745-inf)\''}
@attribute word_freq_report {'\'(-inf-0.045]\'','\'(0.045-1.33]\'','\'(1.33-inf)\''}
@attribute word_freq_order {'\'(-inf-0.045]\'','\'(0.045-inf)\''}
@attribute word_freq_hp {'\'(-inf-0.12]\'','\'(0.12-1.495]\'','\'(1.495-inf)\''}
@attribute word_freq_data {'\'(-inf-0.085]\'','\'(0.085-0.555]\'','\'(0.555-inf)\''}
@attribute word_freq_address {'\'(-inf-0.075]\'','\'(0.075-1.77]\'','\'(1.77-5.115]\'','\'(5.115-inf)\''}
@attribute char_freq_[ {'\'(-inf-0.0325]\'','\'(0.0325-inf)\''}
@attribute word_freq_1999 {'\'(-inf-0.105]\'','\'(0.105-inf)\''}
@attribute word_freq_business {'\'(-inf-0.065]\'','\'(0.065-0.94]\'','\'(0.94-inf)\''}
@attribute word_freq_people {'\'(-inf-0.105]\'','\'(0.105-inf)\''}
@attribute class {0,1}

@data
'\'(-inf-0.01]\'','\'(-inf-0.01]\'','\'(-inf-0.155]\'','\'(-inf-1.67]\'','\'(-inf-0.125]\'','\'(-inf-0.115]\'','\'(-inf-0.01]\'','\'(-inf-0.075]\'','\'(0.095-inf)\'','\'(-inf-0.455]\'','\'(-inf-0.195]\'','\'(-inf-0.025]\'','\'(-inf-0.125]\'','\'(-inf-0.12]\'','\'(-inf-0.125]\'','\'(-inf-0.195]\'','\'(-inf-0.045]\'','\'(-inf-0.005]\'','\'(-inf-0.085]\'','\'(-inf-0.0125]\'','\'(-inf-0.01]\'','\'(-inf-0.015]\'','\'(-inf-0.05]\'','\'(-inf-0.115]\'','\'(-inf-0.045]\'','\'(-inf-0.045]\'','\'(-inf-0.12]\'','\'(-inf-0.085]\'','\'(0.075-1.77]\'','\'(-inf-0.0325]\'','\'(-inf-0.105]\'','\'(-inf-0.065]\'','\'(-inf-0.105]\'',1
'\'(0.01-inf)\'','\'(0.01-inf)\'','\'(-inf-0.155]\'','\'(-inf-1.67]\'','\'(0.26-inf)\'','\'(-inf-0.115]\'','\'(-inf-0.01]\'','\'(-inf-0.075]\'','\'(0.095-inf)\'','\'(-inf-0.455]\'','\'(-inf-0.195]\'','\'(0.025-inf)\'','\'(-inf-0.125]\'','\'(-inf-0.12]\'','\'(-inf-0.125]\'','\'(-inf-0.195]\'','\'(0.045-1.825]\'','\'(-inf-0.005]\'','\'(-inf-0.085]\'','\'(0.1475-inf)\'','\'(-inf-0.01]\'','\'(0.015-inf)\'','\'(-inf-0.05]\'','\'(-inf-0.115]\'','\'(0.045-1.33]\'','\'(-inf-0.045]\'','\'(-inf-0.12]\'','\'(-inf-0.085]\'','\'(0.075-1.77]\'','\'(-inf-0.0325]\'','\'(-inf-0.105]\'','\'(0.065-0.94]\'','\'(0.105-inf)\'',1
'\'(0.01-inf)\'','\'(0.01-inf)\'','\'(-inf-0.155]\'','\'(-inf-1.67]\'','\'(0.26-inf)\'','\'(-inf-0.115]\'','\'(-inf-0.01]\'','\'(0.075-inf)\'','\'(-inf-0.095]\'','\'(-inf-0.455]\'','\'(-inf-0.195]\'','\'(0.025-inf)\'','\'(-inf-0.125]\'','\'(-inf-0.12]\'','\'(-inf-0.125]\'','\'(-inf-0.195]\'','\'(0.045-1.825]\'','\'(-inf-0.005]\'','\'(-inf-0.085]\'','\'(0.1475-inf)\'','\'(-inf-0.01]\'','\'(0.015-inf)\'','\'(0.05-0.125]\'','\'(-inf-0.115]\'','\'(-inf-0.045]\'','\'(0.045-inf)\'','\'(-inf-0.12]\'','\'(-inf-0.085]\'','\'(-inf-0.075]\'','\'(-inf-0.0325]\'','\'(-inf-0.105]\'','\'(-inf-0.065]\'','\'(0.105-inf)\'',1
'\'(0.01-inf)\'','\'(-inf-0.01]\'','\'(-inf-0.155]\'','\'(-inf-1.67]\'','\'(-inf-0.125]\'','\'(-inf-0.115]\'','\'(-inf-0.01]\'','\'(-inf-0.075]\'','\'(0.095-inf)\'','\'(-inf-0.455]\'','\'(-inf-0.195]\'','\'(-inf-0.025]\'','\'(-inf-0.125]\'','\'(-inf-0.12]\'','\'(-inf-0.125]\'','\'(-inf-0.195]\'','\'(0.045-1.825]\'','\'(-inf-0.005]\'','\'(-inf-0.085]\'','\'(-inf-0.0125]\'','\'(-inf-0.01]\'','\'(0.015-inf)\'','\'(-inf-0.05]\'','\'(-inf-0.115]\'','\'(-inf-0.045]\'','\'(0.045-inf)\'','\'(-inf-0.12]\'','\'(-inf-0.085]\'','\'(-inf-0.075]\'','\'(-inf-0.0325]\'','\'(-inf-0.105]\'','\'(-inf-0.065]\'','\'(0.105-inf)\'',1
'\'(0.01-inf)\'','\'(-inf-0.01]\'','\'(-inf-0.155]\'','\'(-inf-1.67]\'','\'(-inf-0.125]\'','\'(-inf-0.115]\'','\'(-inf-0.01]\'','\'(-inf-0.075]\'','\'(0.095-inf)\'','\'(-inf-0.455]\'','\'(-inf-0.195]\'','\'(-inf-0.025]\'','\'(-inf-0.125]\'','\'(-inf-0.12]\'','\'(-inf-0.125]\'','\'(-inf-0.195]\'','\'(0.045-1.825]\'','\'(-inf-0.005]\'','\'(-inf-0.085]\'','\'(-inf-0.0125]\'','\'(-inf-0.01]\'','\'(0.015-inf)\'','\'(-inf-0.05]\'','\'(-inf-0.115]\'','\'(-inf-0.045]\'','\'(0.045-inf)\'','\'(-inf-0.12]\'','\'(-inf-0.085]\'','\'(-inf-0.075]\'','\'(-inf-0.0325]\'','\'(-inf-0.105]\'','\'(-inf-0.065]\'','\'(0.105-inf)\'',1
'\'(-inf-0.01]\'','\'(-inf-0.01]\'','\'(-inf-0.155]\'','\'(-inf-1.67]\'','\'(-inf-0.125]\'','\'(-inf-0.115]\'','\'(-inf-0.01]\'','\'(-inf-0.075]\'','\'(-inf-0.095]\'','\'(-inf-0.455]\'','\'(-inf-0.195]\'','\'(-inf-0.025]\'','\'(-inf-0.125]\'','\'(-inf-0.12]\'','\'(-inf-0.125]\'','\'(-inf-0.195]\'','\'(-inf-0.045]\'','\'(-inf-0.005]\'','\'(-inf-0.085]\'','\'(-inf-0.0125]\'','\'(-inf-0.01]\'','\'(0.015-inf)\'','\'(-inf-0.05]\'','\'(-inf-0.115]\'','\'(-inf-0.045]\'','\'(-inf-0.045]\'','\'(-inf-0.12]\'','\'(-inf-0.085]\'','\'(-inf-0.075]\'','\'(-inf-0.0325]\'','\'(-inf-0.105]\'','\'(-inf-0.065]\'','\'(-inf-0.105]\'',1
'\'(-inf-0.01]\'','\'(-inf-0.01]\'','\'(-inf-0.155]\'','\'(-inf-1.67]\'','\'(-inf-0.125]\'','\'(-inf-0.115]\'','\'(-inf-0.01]\'','\'(-inf-0.075]\'','\'(0.095-inf)\'','\'(-inf-0.455]\'','\'(-inf-0.195]\'','\'(-inf-0.025]\'','\'(-inf-0.125]\'','\'(-inf-0.12]\'','\'(-inf-0.125]\'','\'(-inf-0.195]\'','\'(0.045-1.825]\'','\'(-inf-0.005]\'','\'(-inf-0.085]\'','\'(0.0125-0.0555]\'','\'(-inf-0.01]\'','\'(-inf-0.015]\'','\'(-inf-0.05]\'','\'(-inf-0.115]\'','\'(-inf-0.045]\'','\'(-inf-0.045]\'','\'(-inf-0.12]\'','\'(-inf-0.085]\'','\'(-inf-0.075]\'','\'(-inf-0.0325]\'','\'(-inf-0.105]\'','\'(-inf-0.065]\'','\'(-inf-0.105]\'',1
'\'(-inf-0.01]\'','\'(-inf-0.01]\'','\'(-inf-0.155]\'','\'(-inf-1.67]\'','\'(-inf-0.125]\'','\'(-inf-0.115]\'','\'(-inf-0.01]\'','\'(-inf-0.075]\'','\'(-inf-0.095]\'','\'(-inf-0.455]\'','\'(-inf-0.195]\'','\'(-inf-0.025]\'','\'(-inf-0.125]\'','\'(-inf-0.12]\'','\'(-inf-0.125]\'','\'(-inf-0.195]\'','\'(-inf-0.045]\'','\'(-inf-0.005]\'','\'(-inf-0.085]\'','\'(-inf-0.0125]\'','\'(-inf-0.01]\'','\'(0.015-inf)\'','\'(-inf-0.05]\'','\'(-inf-0.115]\'','\'(-inf-0.045]\'','\'(-inf-0.045]\'','\'(-inf-0.12]\'','\'(-inf-0.085]\'','\'(-inf-0.075]\'','\'(-inf-0.0325]\'','\'(-inf-0.105]\'','\'(-inf-0.065]\'','\'(-inf-0.105]\'',1
'\'(0.01-inf)\'','\'(0.01-inf)\'','\'(-inf-0.155]\'','\'(-inf-1.67]\'','\'(-inf-0.125]\'','\'(-inf-0.115]\'','\'(-inf-0.01]\'','\'(0.075-inf)\'','\'(-inf-0.095]\'','\'(-inf-0.455]\'','\'(-inf-0.195]\'','\'(-inf-0.025]\'','\'(-inf-0.125]\'','\'(-inf-0.12]\'','\'(-inf-0.125]\'','\'(-inf-0.195]\'','\'(0.045-1.825]\'','\'(-inf-0.005]\'','\'(-inf-0.085]\'','\'(0.1475-inf)\'','\'(-inf-0.01]\'','\'(-inf-0.015]\'','\'(-inf-0.05]\'','\'(-inf-0.115]\'','\'(-inf-0.045]\'','\'(0.045-inf)\'','\'(-inf-0.12]\'','\'(0.085-0.555]\'','\'(-inf-0.075]\'','\'(-inf-0.0325]\'','\'(-inf-0.105]\'','\'(-inf-0.065]\'','\'(-inf-0.105]\'',1
'\'(0.01-inf)\'','\'(-inf-0.01]\'','\'(-inf-0.155]\'','\'(-inf-1.67]\'','\'(0.125-0.26]\'','\'(-inf-0.115]\'','\'(-inf-0.01]\'','\'(-inf-0.075]\'','\'(-inf-0.095]\'','\'(-inf-0.455]\'','\'(-inf-0.195]\'','\'(0.025-inf)\'','\'(-inf-0.125]\'','\'(-inf-0.12]\'','\'(-inf-0.125]\'','\'(-inf-0.195]\'','\'(-inf-0.045]\'','\'(-inf-0.005]\'','\'(-inf-0.085]\'','\'(0.0555-0.1475]\'','\'(-inf-0.01]\'','\'(-inf-0.015]\'','\'(-inf-0.05]\'','\'(-inf-0.115]\'','\'(-inf-0.045]\'','\'(0.045-inf)\'','\'(-inf-0.12]\'','\'(-inf-0.085]\'','\'(0.075-1.77]\'','\'(-inf-0.0325]\'','\'(-inf-0.105]\'','\'(-inf-0.065]\'','\'(0.105-inf)\'',1
