@relation './hiva_train-weka.filters.unsupervised.attribute.Remove-V-R558,963,708,1200,1265,169,1444,1037,1057,646,461,1442,1323,240,222,1073,1420,1512,908,254,57,1542,165,1236,205,498,1259,101,168,381,529,515,1205,108,273,149,588,1244,1345,224,584,762,23,752,18,620,247,176,1508,405,1198,1125,560,22,1232,369,1201,1435,1385,965,1383,788,768,158,1074,474,587,713,1523,412,235,90,1391,663,895,5,103,1614,685,910,705,1567,1279,555,540,1176,1112,1358,1250,599,1618'

@attribute attr557 numeric
@attribute attr962 numeric
@attribute attr707 numeric
@attribute attr1199 numeric
@attribute attr1264 numeric
@attribute attr168 numeric
@attribute attr1443 numeric
@attribute attr1036 numeric
@attribute attr1056 numeric
@attribute attr645 numeric
@attribute attr460 numeric
@attribute attr1441 numeric
@attribute attr1322 numeric
@attribute attr239 numeric
@attribute attr221 numeric
@attribute attr1072 numeric
@attribute attr1419 numeric
@attribute attr1511 numeric
@attribute attr907 numeric
@attribute attr253 numeric
@attribute attr56 numeric
@attribute attr1541 numeric
@attribute attr164 numeric
@attribute attr1235 numeric
@attribute attr204 numeric
@attribute attr497 numeric
@attribute attr1258 numeric
@attribute attr100 numeric
@attribute attr167 numeric
@attribute attr380 numeric
@attribute attr528 numeric
@attribute attr514 numeric
@attribute attr1204 numeric
@attribute attr107 numeric
@attribute attr272 numeric
@attribute attr148 numeric
@attribute attr587 numeric
@attribute attr1243 numeric
@attribute attr1344 numeric
@attribute attr223 numeric
@attribute attr583 numeric
@attribute attr761 numeric
@attribute attr22 numeric
@attribute attr751 numeric
@attribute attr17 numeric
@attribute attr619 numeric
@attribute attr246 numeric
@attribute attr175 numeric
@attribute attr1507 numeric
@attribute attr404 numeric
@attribute attr1197 numeric
@attribute attr1124 numeric
@attribute attr559 numeric
@attribute attr21 numeric
@attribute attr1231 numeric
@attribute attr368 numeric
@attribute attr1200 numeric
@attribute attr1434 numeric
@attribute attr1384 numeric
@attribute attr964 numeric
@attribute attr1382 numeric
@attribute attr787 numeric
@attribute attr767 numeric
@attribute attr157 numeric
@attribute attr1073 numeric
@attribute attr473 numeric
@attribute attr586 numeric
@attribute attr712 numeric
@attribute attr1522 numeric
@attribute attr411 numeric
@attribute attr234 numeric
@attribute attr89 numeric
@attribute attr1390 numeric
@attribute attr662 numeric
@attribute attr894 numeric
@attribute attr4 numeric
@attribute attr102 numeric
@attribute attr1613 numeric
@attribute attr684 numeric
@attribute attr909 numeric
@attribute attr704 numeric
@attribute attr1566 numeric
@attribute attr1278 numeric
@attribute attr554 numeric
@attribute attr539 numeric
@attribute attr1175 numeric
@attribute attr1111 numeric
@attribute attr1357 numeric
@attribute attr1249 numeric
@attribute attr598 numeric
@attribute CLASS {0,1}

@data
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
