@relation 'mushroom-weka.filters.unsupervised.attribute.Remove-V-R22,21,20,19,12,10,8,4,2,23'

@attribute habitat {d,g,l,m,p,u,w}
@attribute population {a,c,n,s,v,y}
@attribute spore-print-color {b,h,k,n,o,r,u,w,y}
@attribute ring-type {c,e,f,l,n,p,s,z}
@attribute stalk-surface-above-ring {f,k,s,y}
@attribute stalk-shape {e,t}
@attribute gill-size {b,n}
@attribute bruises? {f,t}
@attribute cap-surface {f,g,s,y}
@attribute class {e,p}

@data
u,s,k,p,s,e,n,t,s,p
g,n,n,p,s,e,b,t,s,e
m,n,n,p,s,e,b,t,s,e
u,s,k,p,s,e,n,t,y,p
g,a,n,e,s,t,b,f,s,e
g,n,k,p,s,e,b,t,y,e
m,n,k,p,s,e,b,t,s,e
m,s,n,p,s,e,b,t,y,e
g,v,k,p,s,e,n,t,y,p
m,s,k,p,s,e,b,t,s,e
g,n,n,p,s,e,b,t,y,e
m,s,k,p,s,e,b,t,y,e
g,s,n,p,s,e,b,t,s,e
u,v,n,p,s,e,n,t,y,p
g,a,k,e,s,t,b,f,f,e
u,y,n,p,s,e,n,f,f,e
g,a,n,e,s,t,b,f,f,e
g,s,k,p,s,e,n,t,s,p
u,s,n,p,s,e,n,t,y,p
u,s,n,p,s,e,n,t,s,p
m,s,n,p,s,e,b,t,s,e
g,v,n,p,s,e,n,t,y,p
m,s,n,p,s,e,b,t,y,e
m,n,n,p,s,e,b,t,y,e
m,s,k,p,s,e,b,t,s,e
g,v,n,p,s,e,n,t,s,p
m,n,n,p,s,e,b,t,y,e
m,n,n,p,s,e,b,t,y,e
u,y,k,p,s,e,n,f,f,e
d,v,n,p,s,t,n,t,s,e
m,n,n,p,s,e,b,t,s,e
u,s,n,p,s,e,n,t,y,p
m,n,n,p,s,e,b,t,y,e
p,y,n,p,s,e,b,t,y,e
m,s,n,p,s,e,b,t,y,e
d,v,n,p,s,t,n,t,f,e
u,v,k,p,s,e,n,f,f,e
u,s,n,p,s,e,n,t,y,p
d,v,n,p,s,t,n,t,f,e
m,s,k,p,s,e,b,t,s,e
g,s,n,p,s,e,b,t,y,e
p,y,k,p,s,e,b,t,y,e
u,y,k,p,s,e,n,f,f,e
g,v,n,p,s,e,n,t,y,p
m,n,k,p,s,e,b,t,s,e
g,n,n,p,s,e,b,t,y,e
m,s,k,p,s,e,b,t,y,e
m,n,n,p,s,e,b,t,s,e
p,s,n,p,s,e,b,t,y,e
p,s,k,p,s,e,b,t,y,e
g,s,k,p,s,e,b,t,y,e
g,s,k,p,s,e,b,t,s,e
m,n,n,p,s,e,b,t,s,e
u,v,n,p,s,e,n,t,y,p
u,v,k,p,s,e,n,t,s,p
m,s,k,p,s,e,b,t,y,e
g,a,n,e,s,t,b,f,f,e
g,n,n,p,s,e,b,t,s,e
g,n,k,p,s,e,b,t,s,e
p,y,k,p,s,e,b,t,y,e
u,v,n,p,s,e,n,f,f,e
m,s,n,p,s,e,b,t,y,e
m,s,n,p,s,e,b,t,s,e
m,n,n,p,s,e,b,t,y,e
g,s,n,p,s,e,b,t,y,e
g,a,k,e,s,t,b,f,s,e
g,s,k,p,s,e,b,t,s,e
g,s,n,p,s,e,b,t,y,e
g,n,k,p,s,e,b,t,y,e
u,v,n,p,s,e,n,f,f,e
d,v,n,p,s,t,n,t,f,e
m,s,n,p,s,e,b,t,y,e
d,v,n,p,s,t,n,t,f,e
p,s,k,p,s,e,b,t,y,e
g,s,k,p,s,e,b,t,s,e
d,v,n,p,s,t,n,t,s,e
d,v,u,p,s,t,n,t,s,e
p,y,n,p,s,e,b,t,y,e
u,v,n,p,s,e,n,t,y,p
g,y,n,p,s,e,b,t,y,e
g,s,n,e,f,t,b,f,s,e
g,s,k,p,s,e,n,t,y,p
u,y,n,p,s,e,n,f,f,e
g,s,n,e,s,t,b,f,f,e
g,s,k,p,s,e,b,t,y,e
g,s,k,e,s,t,b,f,s,e
g,s,k,p,s,e,b,t,s,e
g,s,n,p,s,e,b,t,s,e
g,y,k,p,s,e,b,t,y,e
u,v,n,p,s,e,n,f,f,e
u,y,n,p,s,e,n,f,f,e
g,s,k,p,s,e,b,t,s,e
g,s,k,p,s,e,b,t,y,e
m,n,k,p,s,e,b,t,y,e
g,a,n,e,s,t,b,f,s,e
g,s,n,p,s,e,b,t,s,e
g,s,n,p,s,e,b,t,y,e
g,n,k,p,s,e,b,t,s,e
g,s,n,p,s,e,b,t,s,e
g,s,k,p,s,e,b,t,y,e
g,s,k,e,f,t,b,f,f,e
g,n,k,p,s,e,b,t,s,e
g,s,n,p,s,e,b,t,y,e
p,y,k,p,s,e,b,t,y,e
g,n,n,p,s,e,b,t,y,e
m,n,k,p,s,e,b,t,y,e
g,y,n,p,s,e,b,t,y,e
m,s,k,p,s,e,b,t,y,e
m,s,n,p,s,e,b,t,y,e
m,n,k,p,s,e,b,t,s,e
g,n,k,p,s,e,b,t,s,e
u,y,k,p,s,e,n,f,f,e
d,v,u,p,s,t,n,t,f,e
m,n,k,p,s,e,b,t,s,e
u,v,n,p,s,e,n,t,y,p
g,s,n,p,s,e,b,t,y,e
u,y,n,p,s,e,n,f,f,e
g,y,k,p,s,e,b,t,y,e
d,v,u,p,s,t,n,t,s,e
u,y,n,p,s,e,n,f,f,e
g,v,k,p,s,e,n,t,s,p
m,n,n,p,s,e,b,t,y,e
g,v,k,p,s,e,n,t,y,p
g,a,n,e,s,t,b,f,s,e
m,s,n,p,s,e,b,t,s,e
g,s,k,e,s,t,b,f,s,e
g,n,n,p,s,e,b,t,s,e
g,a,n,e,s,t,b,f,f,e
g,n,k,p,s,e,b,t,s,e
m,s,n,p,s,e,b,t,s,e
g,s,n,p,s,e,b,t,s,e
m,s,n,p,s,e,b,t,y,e
d,v,u,p,s,t,n,t,s,e
m,s,k,p,s,e,b,t,y,e
d,v,n,p,s,t,n,t,s,e
u,v,n,p,s,e,n,t,y,p
d,v,n,p,s,t,n,t,f,e
g,s,n,p,s,e,b,t,y,e
g,v,n,p,s,e,n,t,s,p
g,n,n,p,s,e,b,t,s,e
p,y,k,p,s,e,b,t,y,e
m,n,k,p,s,e,b,t,y,e
u,v,n,p,s,e,n,f,f,e
p,y,k,p,s,e,b,t,y,e
g,n,k,p,s,e,b,t,y,e
g,s,k,e,f,t,b,f,f,e
g,a,n,e,s,t,b,f,f,e
m,n,n,p,s,e,b,t,y,e
g,n,k,p,s,e,b,t,s,e
m,n,k,p,s,e,b,t,y,e
g,s,n,p,s,e,b,t,y,e
g,a,n,e,f,t,b,f,s,e
g,s,n,p,s,e,b,t,y,e
u,v,k,p,s,e,n,f,f,e
d,v,u,p,s,t,n,t,s,e
g,s,k,p,s,e,b,t,y,e
g,n,n,p,s,e,b,t,y,e
g,n,n,p,s,e,b,t,y,e
m,s,k,p,s,e,b,t,y,e
g,s,k,p,s,e,b,t,s,e
m,s,k,p,s,e,b,t,s,e
g,n,k,p,s,e,b,t,y,e
u,y,n,p,s,e,n,f,f,e
g,y,n,p,s,e,b,t,y,e
g,s,n,p,s,e,b,t,y,e
p,y,n,p,s,e,b,t,y,e
g,s,n,p,s,e,b,t,s,e
m,s,k,p,s,e,b,t,s,e
g,y,k,p,s,e,b,t,y,e
g,s,k,p,s,e,b,t,s,e
u,y,n,p,s,e,n,f,f,e
g,s,n,p,s,e,b,t,s,e
d,v,u,p,s,t,n,t,f,e
g,s,k,p,s,e,b,t,y,e
g,s,n,p,s,e,b,t,y,e
m,n,k,p,s,e,b,t,y,e
m,n,k,p,s,e,b,t,y,e
g,s,n,p,s,e,b,t,y,e
m,n,n,p,s,e,b,t,y,e
g,n,n,p,s,e,b,t,s,e
u,v,n,p,s,e,n,t,y,p
u,y,n,p,s,e,n,f,f,e
u,v,k,p,s,e,n,f,f,e
m,s,n,p,s,e,b,t,s,e
p,s,k,p,s,e,b,t,y,e
g,s,k,p,s,e,n,t,y,p
m,s,n,p,s,e,b,t,s,e
u,v,k,p,s,e,n,f,f,e
g,n,n,p,s,e,b,t,y,e
p,y,n,p,s,e,b,t,y,e
g,s,k,e,s,t,b,f,f,e
d,v,n,p,s,t,n,t,s,e
m,s,n,p,s,e,b,t,s,e
d,v,n,p,s,t,n,t,s,e
m,n,n,p,s,e,b,t,s,e
u,y,n,p,s,e,n,f,f,e
g,s,k,p,s,e,b,t,s,e
m,n,n,p,s,e,b,t,s,e
m,s,n,p,s,e,b,t,y,e
d,v,n,p,s,t,n,t,s,e
g,s,n,p,s,e,b,t,y,e
g,s,k,p,s,e,b,t,s,e
g,n,k,p,s,e,b,t,s,e
g,s,k,e,f,t,b,f,f,e
p,y,k,p,s,e,b,t,y,e
u,v,n,p,s,e,n,t,s,p
g,n,n,p,s,e,b,t,s,e
m,s,k,p,s,e,b,t,s,e
g,n,n,p,s,e,b,t,y,e
g,n,k,p,s,e,b,t,y,e
g,s,k,p,s,e,b,t,s,e
m,n,k,p,s,e,b,t,s,e
d,v,n,p,s,t,n,t,f,e
u,y,n,p,s,e,n,f,f,e
g,s,n,p,s,e,b,t,y,e
m,n,k,p,s,e,b,t,s,e
g,s,k,p,s,e,b,t,s,e
g,s,k,p,s,e,b,t,y,e
g,s,n,p,s,e,b,t,y,e
u,v,n,p,s,e,n,f,f,e
m,n,n,p,s,e,b,t,s,e
g,s,k,p,s,e,n,t,s,p
g,s,n,p,s,e,b,t,y,e
d,v,n,p,s,t,n,t,f,e
m,n,k,p,s,e,b,t,y,e
g,s,k,p,s,e,b,t,y,e
g,n,n,p,s,e,b,t,s,e
g,s,n,p,s,e,b,t,s,e
u,v,k,p,s,e,n,t,y,p
g,n,n,p,s,e,b,t,s,e
u,y,k,p,s,e,n,f,f,e
u,s,k,p,s,e,n,t,y,p
p,y,n,p,s,e,b,t,y,e
u,v,k,p,s,e,n,f,f,e
g,n,n,p,s,e,b,t,s,e
d,v,n,p,s,t,n,t,f,e
g,s,k,p,s,e,b,t,y,e
g,s,n,p,s,e,b,t,y,e
g,s,k,p,s,e,b,t,y,e
p,s,k,p,s,e,b,t,y,e
p,y,k,p,s,e,b,t,y,e
g,s,k,p,s,e,b,t,s,e
m,n,n,p,s,e,b,t,s,e
