@relation './hiva_train-weka.filters.unsupervised.attribute.Remove-V-R1242,1402,1075,367,1297,1179,237,219,745,139,205,838,539,1124,281,1246,969,443,762,808,910,1006,1339,806,1278,164,15,907,1464,220,536-537,57,812,515,665,688,296,1030,1166,101,1054,1555,55,1132,597,277,103,1590,195,1238,136,783,1232,752,1512,11,1201,809,469,974,254,1156,458,400,1265,424,605,58,68,1205,84,1520,67,1117,433,42,529,1168,1323,811,632,581,1396,149,1259,273,247,963,1618'

@attribute attr1241 numeric
@attribute attr1401 numeric
@attribute attr1074 numeric
@attribute attr366 numeric
@attribute attr1296 numeric
@attribute attr1178 numeric
@attribute attr236 numeric
@attribute attr218 numeric
@attribute attr744 numeric
@attribute attr138 numeric
@attribute attr204 numeric
@attribute attr837 numeric
@attribute attr538 numeric
@attribute attr1123 numeric
@attribute attr280 numeric
@attribute attr1245 numeric
@attribute attr968 numeric
@attribute attr442 numeric
@attribute attr761 numeric
@attribute attr807 numeric
@attribute attr909 numeric
@attribute attr1005 numeric
@attribute attr1338 numeric
@attribute attr805 numeric
@attribute attr1277 numeric
@attribute attr163 numeric
@attribute attr14 numeric
@attribute attr906 numeric
@attribute attr1463 numeric
@attribute attr219 numeric
@attribute attr535 numeric
@attribute attr536 numeric
@attribute attr56 numeric
@attribute attr811 numeric
@attribute attr514 numeric
@attribute attr664 numeric
@attribute attr687 numeric
@attribute attr295 numeric
@attribute attr1029 numeric
@attribute attr1165 numeric
@attribute attr100 numeric
@attribute attr1053 numeric
@attribute attr1554 numeric
@attribute attr54 numeric
@attribute attr1131 numeric
@attribute attr596 numeric
@attribute attr276 numeric
@attribute attr102 numeric
@attribute attr1589 numeric
@attribute attr194 numeric
@attribute attr1237 numeric
@attribute attr135 numeric
@attribute attr782 numeric
@attribute attr1231 numeric
@attribute attr751 numeric
@attribute attr1511 numeric
@attribute attr10 numeric
@attribute attr1200 numeric
@attribute attr808 numeric
@attribute attr468 numeric
@attribute attr973 numeric
@attribute attr253 numeric
@attribute attr1155 numeric
@attribute attr457 numeric
@attribute attr399 numeric
@attribute attr1264 numeric
@attribute attr423 numeric
@attribute attr604 numeric
@attribute attr57 numeric
@attribute attr67 numeric
@attribute attr1204 numeric
@attribute attr83 numeric
@attribute attr1519 numeric
@attribute attr66 numeric
@attribute attr1116 numeric
@attribute attr432 numeric
@attribute attr41 numeric
@attribute attr528 numeric
@attribute attr1167 numeric
@attribute attr1322 numeric
@attribute attr810 numeric
@attribute attr631 numeric
@attribute attr580 numeric
@attribute attr1395 numeric
@attribute attr148 numeric
@attribute attr1258 numeric
@attribute attr272 numeric
@attribute attr246 numeric
@attribute attr962 numeric
@attribute CLASS {0,1}

@data
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
