@relation './hiva_train-weka.filters.unsupervised.attribute.Remove-V-R1190,1118,978,894,887,872,848,842,822,808,799,797,766,753,707,698,657,640,631,594,557,538,521,485,460,448,444,440,433,428,423,409,406,398,393,385,372,371,363,362,356,355,348,326,325,314,312,310,309,307,302,295,290,287,286,279,269,266,265,264,263,260,258,257,255,253,240,238,228,224,222,219,217,213,208,200,197,196,193,191,188,183,180,179,177,174,168,167,166,163,160,159,158,156,155,142,139,135,134,131,128,114,110,97,87,86,78,67,65,57,53,42,5,1618'

@attribute attr1189 numeric
@attribute attr1117 numeric
@attribute attr977 numeric
@attribute attr893 numeric
@attribute attr886 numeric
@attribute attr871 numeric
@attribute attr847 numeric
@attribute attr841 numeric
@attribute attr821 numeric
@attribute attr807 numeric
@attribute attr798 numeric
@attribute attr796 numeric
@attribute attr765 numeric
@attribute attr752 numeric
@attribute attr706 numeric
@attribute attr697 numeric
@attribute attr656 numeric
@attribute attr639 numeric
@attribute attr630 numeric
@attribute attr593 numeric
@attribute attr556 numeric
@attribute attr537 numeric
@attribute attr520 numeric
@attribute attr484 numeric
@attribute attr459 numeric
@attribute attr447 numeric
@attribute attr443 numeric
@attribute attr439 numeric
@attribute attr432 numeric
@attribute attr427 numeric
@attribute attr422 numeric
@attribute attr408 numeric
@attribute attr405 numeric
@attribute attr397 numeric
@attribute attr392 numeric
@attribute attr384 numeric
@attribute attr371 numeric
@attribute attr370 numeric
@attribute attr362 numeric
@attribute attr361 numeric
@attribute attr355 numeric
@attribute attr354 numeric
@attribute attr347 numeric
@attribute attr325 numeric
@attribute attr324 numeric
@attribute attr313 numeric
@attribute attr311 numeric
@attribute attr309 numeric
@attribute attr308 numeric
@attribute attr306 numeric
@attribute attr301 numeric
@attribute attr294 numeric
@attribute attr289 numeric
@attribute attr286 numeric
@attribute attr285 numeric
@attribute attr278 numeric
@attribute attr268 numeric
@attribute attr265 numeric
@attribute attr264 numeric
@attribute attr263 numeric
@attribute attr262 numeric
@attribute attr259 numeric
@attribute attr257 numeric
@attribute attr256 numeric
@attribute attr254 numeric
@attribute attr252 numeric
@attribute attr239 numeric
@attribute attr237 numeric
@attribute attr227 numeric
@attribute attr223 numeric
@attribute attr221 numeric
@attribute attr218 numeric
@attribute attr216 numeric
@attribute attr212 numeric
@attribute attr207 numeric
@attribute attr199 numeric
@attribute attr196 numeric
@attribute attr195 numeric
@attribute attr192 numeric
@attribute attr190 numeric
@attribute attr187 numeric
@attribute attr182 numeric
@attribute attr179 numeric
@attribute attr178 numeric
@attribute attr176 numeric
@attribute attr173 numeric
@attribute attr167 numeric
@attribute attr166 numeric
@attribute attr165 numeric
@attribute attr162 numeric
@attribute attr159 numeric
@attribute attr158 numeric
@attribute attr157 numeric
@attribute attr155 numeric
@attribute attr154 numeric
@attribute attr141 numeric
@attribute attr138 numeric
@attribute attr134 numeric
@attribute attr133 numeric
@attribute attr130 numeric
@attribute attr127 numeric
@attribute attr113 numeric
@attribute attr109 numeric
@attribute attr96 numeric
@attribute attr86 numeric
@attribute attr85 numeric
@attribute attr77 numeric
@attribute attr66 numeric
@attribute attr64 numeric
@attribute attr56 numeric
@attribute attr52 numeric
@attribute attr41 numeric
@attribute attr4 numeric
@attribute CLASS {0,1}

@data
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
