@relation './dexter_train-weka.filters.unsupervised.attribute.Discretize-B10-M-1.0-Rfirst-last-weka.filters.unsupervised.attribute.Discretize-B10-M-1.0-Rfirst-last-weka.filters.unsupervised.attribute.Remove-V-R9512,12667,19343,12917,19686,18895,10780,12171,15799,18309,627,5306,14974,14734,2244,4515,18822,16913,18987,9272,11879,11393,7478,15136,4309,11381,11297,10601,5804,17472,5044,5008,1556,7641,1245,8708,15391,15293,17622,20001'

@attribute attr9511 {'\'(-inf-14.2]\'','\'(14.2-28.4]\'','\'(28.4-42.6]\'','\'(42.6-56.8]\'','\'(56.8-71]\'','\'(71-85.2]\'','\'(85.2-99.4]\'','\'(99.4-113.6]\'','\'(113.6-127.8]\'','\'(127.8-inf)\''}
@attribute attr12666 {'\'(-inf-31.8]\'','\'(31.8-63.6]\'','\'(63.6-95.4]\'','\'(95.4-127.2]\'','\'(127.2-159]\'','\'(159-190.8]\'','\'(190.8-222.6]\'','\'(222.6-254.4]\'','\'(254.4-286.2]\'','\'(286.2-inf)\''}
@attribute attr19342 {'\'(-inf-10.2]\'','\'(10.2-20.4]\'','\'(20.4-30.6]\'','\'(30.6-40.8]\'','\'(40.8-51]\'','\'(51-61.2]\'','\'(61.2-71.4]\'','\'(71.4-81.6]\'','\'(81.6-91.8]\'','\'(91.8-inf)\''}
@attribute attr12916 {'\'(-inf-15.7]\'','\'(15.7-31.4]\'','\'(31.4-47.1]\'','\'(47.1-62.8]\'','\'(62.8-78.5]\'','\'(78.5-94.2]\'','\'(94.2-109.9]\'','\'(109.9-125.6]\'','\'(125.6-141.3]\'','\'(141.3-inf)\''}
@attribute attr19685 {'\'(-inf-34.1]\'','\'(34.1-68.2]\'','\'(68.2-102.3]\'','\'(102.3-136.4]\'','\'(136.4-170.5]\'','\'(170.5-204.6]\'','\'(204.6-238.7]\'','\'(238.7-272.8]\'','\'(272.8-306.9]\'','\'(306.9-inf)\''}
@attribute attr18894 {'\'(-inf-32.6]\'','\'(32.6-65.2]\'','\'(65.2-97.8]\'','\'(97.8-130.4]\'','\'(130.4-163]\'','\'(163-195.6]\'','\'(195.6-228.2]\'','\'(228.2-260.8]\'','\'(260.8-293.4]\'','\'(293.4-inf)\''}
@attribute attr10779 {'\'(-inf-40.5]\'','\'(40.5-81]\'','\'(81-121.5]\'','\'(121.5-162]\'','\'(162-202.5]\'','\'(202.5-243]\'','\'(243-283.5]\'','\'(283.5-324]\'','\'(324-364.5]\'','\'(364.5-inf)\''}
@attribute attr12170 {'\'(-inf-69.6]\'','\'(69.6-139.2]\'','\'(139.2-208.8]\'','\'(208.8-278.4]\'','\'(278.4-348]\'','\'(348-417.6]\'','\'(417.6-487.2]\'','\'(487.2-556.8]\'','\'(556.8-626.4]\'','\'(626.4-inf)\''}
@attribute attr15798 {'\'(-inf-24.3]\'','\'(24.3-48.6]\'','\'(48.6-72.9]\'','\'(72.9-97.2]\'','\'(97.2-121.5]\'','\'(121.5-145.8]\'','\'(145.8-170.1]\'','\'(170.1-194.4]\'','\'(194.4-218.7]\'','\'(218.7-inf)\''}
@attribute attr18308 {'\'(-inf-8]\'','\'(8-16]\'','\'(16-24]\'','\'(24-32]\'','\'(32-40]\'','\'(40-48]\'','\'(48-56]\'','\'(56-64]\'','\'(64-72]\'','\'(72-inf)\''}
@attribute attr626 {'\'(-inf-36.7]\'','\'(36.7-73.4]\'','\'(73.4-110.1]\'','\'(110.1-146.8]\'','\'(146.8-183.5]\'','\'(183.5-220.2]\'','\'(220.2-256.9]\'','\'(256.9-293.6]\'','\'(293.6-330.3]\'','\'(330.3-inf)\''}
@attribute attr5305 {'\'(-inf-36.9]\'','\'(36.9-73.8]\'','\'(73.8-110.7]\'','\'(110.7-147.6]\'','\'(147.6-184.5]\'','\'(184.5-221.4]\'','\'(221.4-258.3]\'','\'(258.3-295.2]\'','\'(295.2-332.1]\'','\'(332.1-inf)\''}
@attribute attr14973 {'\'(-inf-36.5]\'','\'(36.5-73]\'','\'(73-109.5]\'','\'(109.5-146]\'','\'(146-182.5]\'','\'(182.5-219]\'','\'(219-255.5]\'','\'(255.5-292]\'','\'(292-328.5]\'','\'(328.5-inf)\''}
@attribute attr14733 {'\'(-inf-29.2]\'','\'(29.2-58.4]\'','\'(58.4-87.6]\'','\'(87.6-116.8]\'','\'(116.8-146]\'','\'(146-175.2]\'','\'(175.2-204.4]\'','\'(204.4-233.6]\'','\'(233.6-262.8]\'','\'(262.8-inf)\''}
@attribute attr2243 {'\'(-inf-13.9]\'','\'(13.9-27.8]\'','\'(27.8-41.7]\'','\'(41.7-55.6]\'','\'(55.6-69.5]\'','\'(69.5-83.4]\'','\'(83.4-97.3]\'','\'(97.3-111.2]\'','\'(111.2-125.1]\'','\'(125.1-inf)\''}
@attribute attr4514 {'\'(-inf-11.3]\'','\'(11.3-22.6]\'','\'(22.6-33.9]\'','\'(33.9-45.2]\'','\'(45.2-56.5]\'','\'(56.5-67.8]\'','\'(67.8-79.1]\'','\'(79.1-90.4]\'','\'(90.4-101.7]\'','\'(101.7-inf)\''}
@attribute attr18821 {'\'(-inf-14.6]\'','\'(14.6-29.2]\'','\'(29.2-43.8]\'','\'(43.8-58.4]\'','\'(58.4-73]\'','\'(73-87.6]\'','\'(87.6-102.2]\'','\'(102.2-116.8]\'','\'(116.8-131.4]\'','\'(131.4-inf)\''}
@attribute attr16912 {'\'(-inf-25.1]\'','\'(25.1-50.2]\'','\'(50.2-75.3]\'','\'(75.3-100.4]\'','\'(100.4-125.5]\'','\'(125.5-150.6]\'','\'(150.6-175.7]\'','\'(175.7-200.8]\'','\'(200.8-225.9]\'','\'(225.9-inf)\''}
@attribute attr18986 {'\'(-inf-25.7]\'','\'(25.7-51.4]\'','\'(51.4-77.1]\'','\'(77.1-102.8]\'','\'(102.8-128.5]\'','\'(128.5-154.2]\'','\'(154.2-179.9]\'','\'(179.9-205.6]\'','\'(205.6-231.3]\'','\'(231.3-inf)\''}
@attribute attr9271 {'\'(-inf-10.8]\'','\'(10.8-21.6]\'','\'(21.6-32.4]\'','\'(32.4-43.2]\'','\'(43.2-54]\'','\'(54-64.8]\'','\'(64.8-75.6]\'','\'(75.6-86.4]\'','\'(86.4-97.2]\'','\'(97.2-inf)\''}
@attribute attr11878 {'\'(-inf-12.1]\'','\'(12.1-24.2]\'','\'(24.2-36.3]\'','\'(36.3-48.4]\'','\'(48.4-60.5]\'','\'(60.5-72.6]\'','\'(72.6-84.7]\'','\'(84.7-96.8]\'','\'(96.8-108.9]\'','\'(108.9-inf)\''}
@attribute attr11392 {'\'(-inf-16.8]\'','\'(16.8-33.6]\'','\'(33.6-50.4]\'','\'(50.4-67.2]\'','\'(67.2-84]\'','\'(84-100.8]\'','\'(100.8-117.6]\'','\'(117.6-134.4]\'','\'(134.4-151.2]\'','\'(151.2-inf)\''}
@attribute attr7477 {'\'(-inf-13.6]\'','\'(13.6-27.2]\'','\'(27.2-40.8]\'','\'(40.8-54.4]\'','\'(54.4-68]\'','\'(68-81.6]\'','\'(81.6-95.2]\'','\'(95.2-108.8]\'','\'(108.8-122.4]\'','\'(122.4-inf)\''}
@attribute attr15135 {'\'(-inf-7.7]\'','\'(7.7-15.4]\'','\'(15.4-23.1]\'','\'(23.1-30.8]\'','\'(30.8-38.5]\'','\'(38.5-46.2]\'','\'(46.2-53.9]\'','\'(53.9-61.6]\'','\'(61.6-69.3]\'','\'(69.3-inf)\''}
@attribute attr4308 {'\'(-inf-27.5]\'','\'(27.5-55]\'','\'(55-82.5]\'','\'(82.5-110]\'','\'(110-137.5]\'','\'(137.5-165]\'','\'(165-192.5]\'','\'(192.5-220]\'','\'(220-247.5]\'','\'(247.5-inf)\''}
@attribute attr11380 {'\'(-inf-30.1]\'','\'(30.1-60.2]\'','\'(60.2-90.3]\'','\'(90.3-120.4]\'','\'(120.4-150.5]\'','\'(150.5-180.6]\'','\'(180.6-210.7]\'','\'(210.7-240.8]\'','\'(240.8-270.9]\'','\'(270.9-inf)\''}
@attribute attr11296 {'\'(-inf-13.3]\'','\'(13.3-26.6]\'','\'(26.6-39.9]\'','\'(39.9-53.2]\'','\'(53.2-66.5]\'','\'(66.5-79.8]\'','\'(79.8-93.1]\'','\'(93.1-106.4]\'','\'(106.4-119.7]\'','\'(119.7-inf)\''}
@attribute attr10600 {'\'(-inf-51]\'','\'(51-102]\'','\'(102-153]\'','\'(153-204]\'','\'(204-255]\'','\'(255-306]\'','\'(306-357]\'','\'(357-408]\'','\'(408-459]\'','\'(459-inf)\''}
@attribute attr5803 {'\'(-inf-27.3]\'','\'(27.3-54.6]\'','\'(54.6-81.9]\'','\'(81.9-109.2]\'','\'(109.2-136.5]\'','\'(136.5-163.8]\'','\'(163.8-191.1]\'','\'(191.1-218.4]\'','\'(218.4-245.7]\'','\'(245.7-inf)\''}
@attribute attr17471 {'\'(-inf-26.9]\'','\'(26.9-53.8]\'','\'(53.8-80.7]\'','\'(80.7-107.6]\'','\'(107.6-134.5]\'','\'(134.5-161.4]\'','\'(161.4-188.3]\'','\'(188.3-215.2]\'','\'(215.2-242.1]\'','\'(242.1-inf)\''}
@attribute attr5043 {'\'(-inf-26.2]\'','\'(26.2-52.4]\'','\'(52.4-78.6]\'','\'(78.6-104.8]\'','\'(104.8-131]\'','\'(131-157.2]\'','\'(157.2-183.4]\'','\'(183.4-209.6]\'','\'(209.6-235.8]\'','\'(235.8-inf)\''}
@attribute attr5007 {'\'(-inf-19.2]\'','\'(19.2-38.4]\'','\'(38.4-57.6]\'','\'(57.6-76.8]\'','\'(76.8-96]\'','\'(96-115.2]\'','\'(115.2-134.4]\'','\'(134.4-153.6]\'','\'(153.6-172.8]\'','\'(172.8-inf)\''}
@attribute attr1555 {'\'(-inf-14.2]\'','\'(14.2-28.4]\'','\'(28.4-42.6]\'','\'(42.6-56.8]\'','\'(56.8-71]\'','\'(71-85.2]\'','\'(85.2-99.4]\'','\'(99.4-113.6]\'','\'(113.6-127.8]\'','\'(127.8-inf)\''}
@attribute attr7640 {'\'(-inf-6.7]\'','\'(6.7-13.4]\'','\'(13.4-20.1]\'','\'(20.1-26.8]\'','\'(26.8-33.5]\'','\'(33.5-40.2]\'','\'(40.2-46.9]\'','\'(46.9-53.6]\'','\'(53.6-60.3]\'','\'(60.3-inf)\''}
@attribute attr1244 {'\'(-inf-25.9]\'','\'(25.9-51.8]\'','\'(51.8-77.7]\'','\'(77.7-103.6]\'','\'(103.6-129.5]\'','\'(129.5-155.4]\'','\'(155.4-181.3]\'','\'(181.3-207.2]\'','\'(207.2-233.1]\'','\'(233.1-inf)\''}
@attribute attr8707 {'\'(-inf-39]\'','\'(39-78]\'','\'(78-117]\'','\'(117-156]\'','\'(156-195]\'','\'(195-234]\'','\'(234-273]\'','\'(273-312]\'','\'(312-351]\'','\'(351-inf)\''}
@attribute attr15390 {'\'(-inf-11.9]\'','\'(11.9-23.8]\'','\'(23.8-35.7]\'','\'(35.7-47.6]\'','\'(47.6-59.5]\'','\'(59.5-71.4]\'','\'(71.4-83.3]\'','\'(83.3-95.2]\'','\'(95.2-107.1]\'','\'(107.1-inf)\''}
@attribute attr15292 {'\'(-inf-18.5]\'','\'(18.5-37]\'','\'(37-55.5]\'','\'(55.5-74]\'','\'(74-92.5]\'','\'(92.5-111]\'','\'(111-129.5]\'','\'(129.5-148]\'','\'(148-166.5]\'','\'(166.5-inf)\''}
@attribute attr17621 {'\'(-inf-25.4]\'','\'(25.4-50.8]\'','\'(50.8-76.2]\'','\'(76.2-101.6]\'','\'(101.6-127]\'','\'(127-152.4]\'','\'(152.4-177.8]\'','\'(177.8-203.2]\'','\'(203.2-228.6]\'','\'(228.6-inf)\''}
@attribute CLASS {0,1}

@data
'\'(-inf-14.2]\'','\'(-inf-31.8]\'','\'(-inf-10.2]\'','\'(15.7-31.4]\'','\'(34.1-68.2]\'','\'(-inf-32.6]\'','\'(-inf-40.5]\'','\'(-inf-69.6]\'','\'(-inf-24.3]\'','\'(-inf-8]\'','\'(-inf-36.7]\'','\'(-inf-36.9]\'','\'(-inf-36.5]\'','\'(-inf-29.2]\'','\'(-inf-13.9]\'','\'(-inf-11.3]\'','\'(-inf-14.6]\'','\'(-inf-25.1]\'','\'(-inf-25.7]\'','\'(-inf-10.8]\'','\'(-inf-12.1]\'','\'(-inf-16.8]\'','\'(-inf-13.6]\'','\'(-inf-7.7]\'','\'(-inf-27.5]\'','\'(-inf-30.1]\'','\'(-inf-13.3]\'','\'(-inf-51]\'','\'(-inf-27.3]\'','\'(-inf-26.9]\'','\'(-inf-26.2]\'','\'(-inf-19.2]\'','\'(-inf-14.2]\'','\'(-inf-6.7]\'','\'(-inf-25.9]\'','\'(-inf-39]\'','\'(-inf-11.9]\'','\'(-inf-18.5]\'','\'(-inf-25.4]\'',1
'\'(-inf-14.2]\'','\'(-inf-31.8]\'','\'(-inf-10.2]\'','\'(109.9-125.6]\'','\'(204.6-238.7]\'','\'(-inf-32.6]\'','\'(-inf-40.5]\'','\'(69.6-139.2]\'','\'(-inf-24.3]\'','\'(-inf-8]\'','\'(293.6-330.3]\'','\'(-inf-36.9]\'','\'(-inf-36.5]\'','\'(-inf-29.2]\'','\'(-inf-13.9]\'','\'(-inf-11.3]\'','\'(-inf-14.6]\'','\'(-inf-25.1]\'','\'(-inf-25.7]\'','\'(-inf-10.8]\'','\'(108.9-inf)\'','\'(-inf-16.8]\'','\'(-inf-13.6]\'','\'(-inf-7.7]\'','\'(-inf-27.5]\'','\'(-inf-30.1]\'','\'(-inf-13.3]\'','\'(-inf-51]\'','\'(-inf-27.3]\'','\'(-inf-26.9]\'','\'(-inf-26.2]\'','\'(-inf-19.2]\'','\'(-inf-14.2]\'','\'(-inf-6.7]\'','\'(-inf-25.9]\'','\'(-inf-39]\'','\'(-inf-11.9]\'','\'(-inf-18.5]\'','\'(127-152.4]\'',0
'\'(-inf-14.2]\'','\'(-inf-31.8]\'','\'(-inf-10.2]\'','\'(-inf-15.7]\'','\'(-inf-34.1]\'','\'(-inf-32.6]\'','\'(-inf-40.5]\'','\'(-inf-69.6]\'','\'(-inf-24.3]\'','\'(-inf-8]\'','\'(-inf-36.7]\'','\'(-inf-36.9]\'','\'(-inf-36.5]\'','\'(-inf-29.2]\'','\'(-inf-13.9]\'','\'(-inf-11.3]\'','\'(-inf-14.6]\'','\'(-inf-25.1]\'','\'(-inf-25.7]\'','\'(-inf-10.8]\'','\'(-inf-12.1]\'','\'(-inf-16.8]\'','\'(-inf-13.6]\'','\'(-inf-7.7]\'','\'(-inf-27.5]\'','\'(-inf-30.1]\'','\'(-inf-13.3]\'','\'(-inf-51]\'','\'(-inf-27.3]\'','\'(-inf-26.9]\'','\'(-inf-26.2]\'','\'(-inf-19.2]\'','\'(-inf-14.2]\'','\'(-inf-6.7]\'','\'(-inf-25.9]\'','\'(-inf-39]\'','\'(-inf-11.9]\'','\'(-inf-18.5]\'','\'(-inf-25.4]\'',1
'\'(-inf-14.2]\'','\'(-inf-31.8]\'','\'(-inf-10.2]\'','\'(94.2-109.9]\'','\'(170.5-204.6]\'','\'(-inf-32.6]\'','\'(-inf-40.5]\'','\'(69.6-139.2]\'','\'(-inf-24.3]\'','\'(-inf-8]\'','\'(256.9-293.6]\'','\'(-inf-36.9]\'','\'(-inf-36.5]\'','\'(-inf-29.2]\'','\'(-inf-13.9]\'','\'(-inf-11.3]\'','\'(-inf-14.6]\'','\'(-inf-25.1]\'','\'(-inf-25.7]\'','\'(-inf-10.8]\'','\'(-inf-12.1]\'','\'(-inf-16.8]\'','\'(-inf-13.6]\'','\'(-inf-7.7]\'','\'(-inf-27.5]\'','\'(-inf-30.1]\'','\'(-inf-13.3]\'','\'(-inf-51]\'','\'(-inf-27.3]\'','\'(-inf-26.9]\'','\'(-inf-26.2]\'','\'(-inf-19.2]\'','\'(-inf-14.2]\'','\'(-inf-6.7]\'','\'(-inf-25.9]\'','\'(-inf-39]\'','\'(-inf-11.9]\'','\'(-inf-18.5]\'','\'(101.6-127]\'',0
'\'(-inf-14.2]\'','\'(-inf-31.8]\'','\'(-inf-10.2]\'','\'(15.7-31.4]\'','\'(-inf-34.1]\'','\'(-inf-32.6]\'','\'(-inf-40.5]\'','\'(-inf-69.6]\'','\'(-inf-24.3]\'','\'(-inf-8]\'','\'(-inf-36.7]\'','\'(-inf-36.9]\'','\'(-inf-36.5]\'','\'(-inf-29.2]\'','\'(-inf-13.9]\'','\'(-inf-11.3]\'','\'(-inf-14.6]\'','\'(-inf-25.1]\'','\'(-inf-25.7]\'','\'(-inf-10.8]\'','\'(-inf-12.1]\'','\'(-inf-16.8]\'','\'(-inf-13.6]\'','\'(-inf-7.7]\'','\'(-inf-27.5]\'','\'(-inf-30.1]\'','\'(-inf-13.3]\'','\'(-inf-51]\'','\'(-inf-27.3]\'','\'(-inf-26.9]\'','\'(-inf-26.2]\'','\'(-inf-19.2]\'','\'(-inf-14.2]\'','\'(-inf-6.7]\'','\'(-inf-25.9]\'','\'(-inf-39]\'','\'(-inf-11.9]\'','\'(-inf-18.5]\'','\'(25.4-50.8]\'',1
'\'(-inf-14.2]\'','\'(-inf-31.8]\'','\'(-inf-10.2]\'','\'(47.1-62.8]\'','\'(-inf-34.1]\'','\'(-inf-32.6]\'','\'(-inf-40.5]\'','\'(-inf-69.6]\'','\'(-inf-24.3]\'','\'(-inf-8]\'','\'(-inf-36.7]\'','\'(-inf-36.9]\'','\'(-inf-36.5]\'','\'(-inf-29.2]\'','\'(-inf-13.9]\'','\'(-inf-11.3]\'','\'(-inf-14.6]\'','\'(-inf-25.1]\'','\'(-inf-25.7]\'','\'(-inf-10.8]\'','\'(-inf-12.1]\'','\'(-inf-16.8]\'','\'(-inf-13.6]\'','\'(-inf-7.7]\'','\'(-inf-27.5]\'','\'(-inf-30.1]\'','\'(-inf-13.3]\'','\'(-inf-51]\'','\'(-inf-27.3]\'','\'(-inf-26.9]\'','\'(183.4-209.6]\'','\'(-inf-19.2]\'','\'(-inf-14.2]\'','\'(-inf-6.7]\'','\'(233.1-inf)\'','\'(-inf-39]\'','\'(-inf-11.9]\'','\'(166.5-inf)\'','\'(-inf-25.4]\'',0
'\'(-inf-14.2]\'','\'(-inf-31.8]\'','\'(-inf-10.2]\'','\'(15.7-31.4]\'','\'(-inf-34.1]\'','\'(-inf-32.6]\'','\'(-inf-40.5]\'','\'(-inf-69.6]\'','\'(-inf-24.3]\'','\'(-inf-8]\'','\'(-inf-36.7]\'','\'(-inf-36.9]\'','\'(-inf-36.5]\'','\'(-inf-29.2]\'','\'(-inf-13.9]\'','\'(-inf-11.3]\'','\'(-inf-14.6]\'','\'(-inf-25.1]\'','\'(-inf-25.7]\'','\'(-inf-10.8]\'','\'(-inf-12.1]\'','\'(-inf-16.8]\'','\'(-inf-13.6]\'','\'(-inf-7.7]\'','\'(165-192.5]\'','\'(-inf-30.1]\'','\'(-inf-13.3]\'','\'(-inf-51]\'','\'(-inf-27.3]\'','\'(-inf-26.9]\'','\'(-inf-26.2]\'','\'(-inf-19.2]\'','\'(-inf-14.2]\'','\'(-inf-6.7]\'','\'(-inf-25.9]\'','\'(-inf-39]\'','\'(-inf-11.9]\'','\'(-inf-18.5]\'','\'(-inf-25.4]\'',1
'\'(-inf-14.2]\'','\'(-inf-31.8]\'','\'(-inf-10.2]\'','\'(-inf-15.7]\'','\'(-inf-34.1]\'','\'(-inf-32.6]\'','\'(-inf-40.5]\'','\'(-inf-69.6]\'','\'(-inf-24.3]\'','\'(-inf-8]\'','\'(-inf-36.7]\'','\'(-inf-36.9]\'','\'(-inf-36.5]\'','\'(-inf-29.2]\'','\'(-inf-13.9]\'','\'(-inf-11.3]\'','\'(-inf-14.6]\'','\'(-inf-25.1]\'','\'(-inf-25.7]\'','\'(-inf-10.8]\'','\'(-inf-12.1]\'','\'(-inf-16.8]\'','\'(-inf-13.6]\'','\'(-inf-7.7]\'','\'(-inf-27.5]\'','\'(-inf-30.1]\'','\'(-inf-13.3]\'','\'(-inf-51]\'','\'(27.3-54.6]\'','\'(26.9-53.8]\'','\'(-inf-26.2]\'','\'(-inf-19.2]\'','\'(-inf-14.2]\'','\'(-inf-6.7]\'','\'(51.8-77.7]\'','\'(-inf-39]\'','\'(-inf-11.9]\'','\'(-inf-18.5]\'','\'(-inf-25.4]\'',0
'\'(-inf-14.2]\'','\'(-inf-31.8]\'','\'(-inf-10.2]\'','\'(15.7-31.4]\'','\'(-inf-34.1]\'','\'(-inf-32.6]\'','\'(-inf-40.5]\'','\'(-inf-69.6]\'','\'(-inf-24.3]\'','\'(-inf-8]\'','\'(-inf-36.7]\'','\'(-inf-36.9]\'','\'(-inf-36.5]\'','\'(-inf-29.2]\'','\'(-inf-13.9]\'','\'(-inf-11.3]\'','\'(-inf-14.6]\'','\'(-inf-25.1]\'','\'(-inf-25.7]\'','\'(-inf-10.8]\'','\'(-inf-12.1]\'','\'(-inf-16.8]\'','\'(-inf-13.6]\'','\'(-inf-7.7]\'','\'(55-82.5]\'','\'(-inf-30.1]\'','\'(-inf-13.3]\'','\'(-inf-51]\'','\'(-inf-27.3]\'','\'(-inf-26.9]\'','\'(-inf-26.2]\'','\'(-inf-19.2]\'','\'(-inf-14.2]\'','\'(-inf-6.7]\'','\'(-inf-25.9]\'','\'(-inf-39]\'','\'(-inf-11.9]\'','\'(-inf-18.5]\'','\'(-inf-25.4]\'',1
'\'(-inf-14.2]\'','\'(-inf-31.8]\'','\'(-inf-10.2]\'','\'(-inf-15.7]\'','\'(-inf-34.1]\'','\'(65.2-97.8]\'','\'(-inf-40.5]\'','\'(-inf-69.6]\'','\'(-inf-24.3]\'','\'(-inf-8]\'','\'(-inf-36.7]\'','\'(36.9-73.8]\'','\'(-inf-36.5]\'','\'(-inf-29.2]\'','\'(-inf-13.9]\'','\'(-inf-11.3]\'','\'(-inf-14.6]\'','\'(-inf-25.1]\'','\'(-inf-25.7]\'','\'(-inf-10.8]\'','\'(-inf-12.1]\'','\'(-inf-16.8]\'','\'(-inf-13.6]\'','\'(-inf-7.7]\'','\'(-inf-27.5]\'','\'(-inf-30.1]\'','\'(-inf-13.3]\'','\'(-inf-51]\'','\'(-inf-27.3]\'','\'(-inf-26.9]\'','\'(-inf-26.2]\'','\'(-inf-19.2]\'','\'(-inf-14.2]\'','\'(-inf-6.7]\'','\'(-inf-25.9]\'','\'(-inf-39]\'','\'(-inf-11.9]\'','\'(-inf-18.5]\'','\'(-inf-25.4]\'',1
