@relation './hiva_train-weka.filters.unsupervised.attribute.Remove-V-R558,1200,1265,1444,1037,1057,646,461,840,1323,1073,10,1420,908,1117,1179,1542,1236,796,498,1259,101,381,529,372,515,108,273,149,588,1244,1345,224,584,762,23,597-598,620,247,1508,405,1198,909,1125,318,1280,346,1133,560,275,22,1232,369,535,1473,1383,768,613,158,1074,474,587,412,235,90,1391,755,663,895,5,1614,783,685,910,705,848,632,948,555,322,500,743,540,1358,1250,599,962,899,467,1356,543,297,13,464,902,990,662,433,631,520,1362,1144,791,64,1618'

@attribute attr557 numeric
@attribute attr1199 numeric
@attribute attr1264 numeric
@attribute attr1443 numeric
@attribute attr1036 numeric
@attribute attr1056 numeric
@attribute attr645 numeric
@attribute attr460 numeric
@attribute attr839 numeric
@attribute attr1322 numeric
@attribute attr1072 numeric
@attribute attr9 numeric
@attribute attr1419 numeric
@attribute attr907 numeric
@attribute attr1116 numeric
@attribute attr1178 numeric
@attribute attr1541 numeric
@attribute attr1235 numeric
@attribute attr795 numeric
@attribute attr497 numeric
@attribute attr1258 numeric
@attribute attr100 numeric
@attribute attr380 numeric
@attribute attr528 numeric
@attribute attr371 numeric
@attribute attr514 numeric
@attribute attr107 numeric
@attribute attr272 numeric
@attribute attr148 numeric
@attribute attr587 numeric
@attribute attr1243 numeric
@attribute attr1344 numeric
@attribute attr223 numeric
@attribute attr583 numeric
@attribute attr761 numeric
@attribute attr22 numeric
@attribute attr596 numeric
@attribute attr597 numeric
@attribute attr619 numeric
@attribute attr246 numeric
@attribute attr1507 numeric
@attribute attr404 numeric
@attribute attr1197 numeric
@attribute attr908 numeric
@attribute attr1124 numeric
@attribute attr317 numeric
@attribute attr1279 numeric
@attribute attr345 numeric
@attribute attr1132 numeric
@attribute attr559 numeric
@attribute attr274 numeric
@attribute attr21 numeric
@attribute attr1231 numeric
@attribute attr368 numeric
@attribute attr534 numeric
@attribute attr1472 numeric
@attribute attr1382 numeric
@attribute attr767 numeric
@attribute attr612 numeric
@attribute attr157 numeric
@attribute attr1073 numeric
@attribute attr473 numeric
@attribute attr586 numeric
@attribute attr411 numeric
@attribute attr234 numeric
@attribute attr89 numeric
@attribute attr1390 numeric
@attribute attr754 numeric
@attribute attr662 numeric
@attribute attr894 numeric
@attribute attr4 numeric
@attribute attr1613 numeric
@attribute attr782 numeric
@attribute attr684 numeric
@attribute attr909 numeric
@attribute attr704 numeric
@attribute attr847 numeric
@attribute attr631 numeric
@attribute attr947 numeric
@attribute attr554 numeric
@attribute attr321 numeric
@attribute attr499 numeric
@attribute attr742 numeric
@attribute attr539 numeric
@attribute attr1357 numeric
@attribute attr1249 numeric
@attribute attr598 numeric
@attribute attr961 numeric
@attribute attr898 numeric
@attribute attr466 numeric
@attribute attr1355 numeric
@attribute attr542 numeric
@attribute attr296 numeric
@attribute attr12 numeric
@attribute attr463 numeric
@attribute attr901 numeric
@attribute attr989 numeric
@attribute attr661 numeric
@attribute attr432 numeric
@attribute attr630 numeric
@attribute attr519 numeric
@attribute attr1361 numeric
@attribute attr1143 numeric
@attribute attr790 numeric
@attribute attr63 numeric
@attribute CLASS {0,1}

@data
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
