@relation 'mushroom-weka.filters.unsupervised.attribute.Remove-V-R15,13,9,20,8,5,23-weka.filters.unsupervised.attribute.Remove-V-R1-2,4,6,5,7'

@attribute stalk-color-below-ring {b,c,e,g,n,o,p,w,y}
@attribute stalk-surface-below-ring {f,k,s,y}
@attribute spore-print-color {b,h,k,n,o,r,u,w,y}
@attribute odor {a,c,f,l,m,n,p,s,y}
@attribute gill-size {b,n}
@attribute class {e,p}

@data
w,s,k,p,n,p
w,s,n,a,b,e
w,s,n,l,b,e
w,s,k,p,n,p
w,s,n,n,b,e
w,s,k,a,b,e
w,s,k,a,b,e
w,s,n,l,b,e
w,s,k,p,n,p
w,s,k,a,b,e
w,s,n,l,b,e
w,s,k,a,b,e
w,s,n,a,b,e
w,s,n,p,n,p
w,f,k,n,b,e
w,s,n,n,n,e
w,s,n,n,b,e
w,s,k,p,n,p
w,s,n,p,n,p
w,s,n,p,n,p
w,s,n,a,b,e
w,s,n,p,n,p
w,s,n,l,b,e
w,s,n,a,b,e
w,s,k,l,b,e
w,s,n,p,n,p
w,s,n,a,b,e
w,s,n,l,b,e
w,s,k,n,n,e
w,s,n,a,n,e
w,s,n,l,b,e
w,s,n,p,n,p
w,s,n,l,b,e
w,y,n,l,b,e
w,s,n,l,b,e
w,s,n,l,n,e
w,s,k,n,n,e
w,s,n,p,n,p
w,s,n,a,n,e
w,s,k,l,b,e
w,s,n,a,b,e
w,y,k,l,b,e
w,s,k,n,n,e
w,s,n,p,n,p
w,s,k,a,b,e
w,s,n,a,b,e
w,s,k,l,b,e
w,s,n,l,b,e
w,y,n,l,b,e
w,y,k,l,b,e
w,y,k,a,b,e
w,s,k,l,b,e
w,s,n,l,b,e
w,s,n,p,n,p
w,s,k,p,n,p
w,s,k,a,b,e
w,s,n,n,b,e
w,s,n,a,b,e
w,s,k,l,b,e
w,y,k,a,b,e
w,s,n,n,n,e
w,s,n,a,b,e
w,s,n,l,b,e
w,s,n,l,b,e
w,s,n,l,b,e
w,s,k,n,b,e
w,s,k,l,b,e
w,y,n,a,b,e
w,s,k,a,b,e
w,s,n,n,n,e
w,s,n,l,n,e
w,s,n,l,b,e
w,s,n,l,n,e
w,y,k,a,b,e
w,s,k,a,b,e
w,s,n,l,n,e
w,s,u,l,n,e
w,y,n,l,b,e
w,s,n,p,n,p
w,y,n,a,b,e
w,s,n,n,b,e
w,s,k,p,n,p
w,s,n,n,n,e
w,s,n,n,b,e
w,y,k,l,b,e
w,s,k,n,b,e
w,s,k,a,b,e
w,s,n,l,b,e
w,y,k,l,b,e
w,s,n,n,n,e
w,s,n,n,n,e
w,s,k,l,b,e
w,s,k,a,b,e
w,s,k,l,b,e
w,s,n,n,b,e
w,s,n,a,b,e
w,y,n,l,b,e
w,s,k,a,b,e
w,s,n,a,b,e
w,s,k,a,b,e
w,s,k,n,b,e
w,s,k,l,b,e
w,y,n,l,b,e
w,y,k,a,b,e
w,s,n,l,b,e
w,s,k,a,b,e
w,y,n,a,b,e
w,s,k,l,b,e
w,s,n,a,b,e
w,s,k,a,b,e
w,s,k,l,b,e
w,s,k,n,n,e
w,s,u,a,n,e
w,s,k,a,b,e
w,s,n,p,n,p
w,y,n,l,b,e
w,s,n,n,n,e
w,y,k,l,b,e
w,s,u,l,n,e
w,s,n,n,n,e
w,s,k,p,n,p
w,s,n,a,b,e
w,s,k,p,n,p
w,s,n,n,b,e
w,s,n,l,b,e
w,f,k,n,b,e
w,s,n,a,b,e
w,s,n,n,b,e
w,s,k,l,b,e
w,s,n,l,b,e
w,s,n,l,b,e
w,s,n,l,b,e
w,s,u,l,n,e
w,s,k,l,b,e
w,s,n,a,n,e
w,s,n,p,n,p
w,s,n,l,n,e
w,s,n,a,b,e
w,s,n,p,n,p
w,s,n,l,b,e
w,y,k,a,b,e
w,s,k,l,b,e
w,s,n,n,n,e
w,y,k,a,b,e
w,s,k,a,b,e
w,f,k,n,b,e
w,f,n,n,b,e
w,s,n,l,b,e
w,s,k,l,b,e
w,s,k,a,b,e
w,s,n,a,b,e
w,s,n,n,b,e
w,s,n,l,b,e
w,s,k,n,n,e
w,s,u,a,n,e
w,y,k,l,b,e
w,s,n,a,b,e
w,s,n,a,b,e
w,s,k,a,b,e
w,s,k,a,b,e
w,s,k,l,b,e
w,s,k,a,b,e
w,s,n,n,n,e
w,y,n,l,b,e
w,s,n,a,b,e
w,y,n,l,b,e
w,s,n,a,b,e
w,s,k,a,b,e
w,y,k,l,b,e
w,s,k,a,b,e
w,s,n,n,n,e
w,s,n,l,b,e
w,s,u,l,n,e
w,s,k,a,b,e
w,y,n,l,b,e
w,s,k,l,b,e
w,s,k,a,b,e
w,s,n,a,b,e
w,s,n,l,b,e
w,s,n,l,b,e
w,s,n,p,n,p
w,s,n,n,n,e
w,s,k,n,n,e
w,s,n,a,b,e
w,y,k,a,b,e
w,s,k,p,n,p
w,s,n,l,b,e
w,s,k,n,n,e
w,s,n,l,b,e
w,y,n,a,b,e
w,f,k,n,b,e
w,s,n,l,n,e
w,s,n,l,b,e
w,s,n,a,n,e
w,s,n,a,b,e
w,s,n,n,n,e
w,s,k,a,b,e
w,s,n,l,b,e
w,s,n,l,b,e
w,s,n,a,n,e
w,s,n,l,b,e
w,s,k,l,b,e
w,s,k,a,b,e
w,s,k,n,b,e
w,y,k,l,b,e
w,s,n,p,n,p
w,s,n,a,b,e
w,s,k,a,b,e
w,s,n,l,b,e
w,s,k,a,b,e
w,s,k,a,b,e
w,s,k,l,b,e
w,s,n,a,n,e
w,s,n,n,n,e
w,y,n,a,b,e
w,s,k,l,b,e
w,s,k,a,b,e
w,s,k,a,b,e
w,s,n,l,b,e
w,s,n,n,n,e
w,s,n,a,b,e
w,s,k,p,n,p
w,y,n,a,b,e
w,s,n,a,n,e
w,s,k,l,b,e
w,s,k,l,b,e
w,s,n,a,b,e
w,s,n,a,b,e
w,s,k,p,n,p
w,s,n,a,b,e
w,s,k,n,n,e
w,s,k,p,n,p
w,y,n,l,b,e
w,s,k,n,n,e
w,s,n,l,b,e
w,s,n,l,n,e
w,s,k,l,b,e
w,s,n,l,b,e
w,y,k,l,b,e
w,y,k,a,b,e
w,y,k,a,b,e
w,s,k,l,b,e
w,s,n,a,b,e
