@relation './hiva_train-weka.filters.unsupervised.attribute.Remove-V-R811,1402,1497,1590,84,563,1168,1444,273,1132,281,1555,1512,974,1201,783,1232,469,1238,136,277,752,812,1498,557,1315,1520,1265,1094,1543,195,1106,165,254,808,1184,1010,993,711,779,424,605,1511,1515,632,581,10,1156,1339,646,806,1461,745,164,1117,367,1230,443,1124,1246,838,969,1075,1297,1371,433,101,68,247,55,890,950,1259,149,883,1618'

@attribute attr810 numeric
@attribute attr1401 numeric
@attribute attr1496 numeric
@attribute attr1589 numeric
@attribute attr83 numeric
@attribute attr562 numeric
@attribute attr1167 numeric
@attribute attr1443 numeric
@attribute attr272 numeric
@attribute attr1131 numeric
@attribute attr280 numeric
@attribute attr1554 numeric
@attribute attr1511 numeric
@attribute attr973 numeric
@attribute attr1200 numeric
@attribute attr782 numeric
@attribute attr1231 numeric
@attribute attr468 numeric
@attribute attr1237 numeric
@attribute attr135 numeric
@attribute attr276 numeric
@attribute attr751 numeric
@attribute attr811 numeric
@attribute attr1497 numeric
@attribute attr556 numeric
@attribute attr1314 numeric
@attribute attr1519 numeric
@attribute attr1264 numeric
@attribute attr1093 numeric
@attribute attr1542 numeric
@attribute attr194 numeric
@attribute attr1105 numeric
@attribute attr164 numeric
@attribute attr253 numeric
@attribute attr807 numeric
@attribute attr1183 numeric
@attribute attr1009 numeric
@attribute attr992 numeric
@attribute attr710 numeric
@attribute attr778 numeric
@attribute attr423 numeric
@attribute attr604 numeric
@attribute attr1510 numeric
@attribute attr1514 numeric
@attribute attr631 numeric
@attribute attr580 numeric
@attribute attr9 numeric
@attribute attr1155 numeric
@attribute attr1338 numeric
@attribute attr645 numeric
@attribute attr805 numeric
@attribute attr1460 numeric
@attribute attr744 numeric
@attribute attr163 numeric
@attribute attr1116 numeric
@attribute attr366 numeric
@attribute attr1229 numeric
@attribute attr442 numeric
@attribute attr1123 numeric
@attribute attr1245 numeric
@attribute attr837 numeric
@attribute attr968 numeric
@attribute attr1074 numeric
@attribute attr1296 numeric
@attribute attr1370 numeric
@attribute attr432 numeric
@attribute attr100 numeric
@attribute attr67 numeric
@attribute attr246 numeric
@attribute attr54 numeric
@attribute attr889 numeric
@attribute attr949 numeric
@attribute attr1258 numeric
@attribute attr148 numeric
@attribute attr882 numeric
@attribute CLASS {0,1}

@data
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
